Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
--BuRnEer--,845,757329,1740,347,8328,6,2178560,4,2664,2578,82,24,2.91546e+06,2
--GeeTeeEye--,754,963586,1261,48,4507,2,2229460,6,2243,3228,0,0,1.41119e+06,1
-EC-Etothed,1608,1440859,1148,86,5504,33,3216630,8,5493,4730,9,7,5.17827e+06,2
-Feu3rFr3i-,994,966321,1667,0,4752,3,2118010,5,4709,2847,4,3,7.33247e+06,2
-Fr-LeXa,1295,1435014,10938,71,62866,1,2975940,6,5292,3047,20,11,7.33129e+06,2
-HERO-CCTV14,990,1074539,911,168,5901,3,1617800,4,3282,3872,1,0,4.77144e+06,3
-HERO-Cinder,1010,1165617,1311,478,4481,2,1591490,3,1694,4962,0,2,2.74145e+06,1
-Jujubi-,783,836762,2521,87,6686,6,1882620,3,1783,2447,41,25,2.3059e+06,2
-KRUT-Archfry,1045,1156551,2318,212,16682,5,2201570,5,3512,5281,9,1,5.2943e+06,2
-PR-oRBital,1253,916136,4815,240,26785,4,3351640,7,5742,4256,0,0,973390,2
-uhha-2017-,1018,2153721,981,34,5156,8,3009160,8,4267,2535,0,0,6.8299e+06,3
-wdqwfy-HQ,785,1323449,303,54,1834,1,1102730,3,1539,6583,0,0,3.53219e+06,3
00C0,805,991982,799,10,2844,3,1365630,3,2511,3032,0,0,4.91097e+06,3
0bock,2135,1314519,6929,151,39585,3,2941440,4,4160,2662,0,2,6.44204e+06,2
1271073672,1211,1345965,1586,329,14259,5,1785250,5,3134,3551,0,0,4.58019e+06,3
141-Shrimps,841,1318574,3215,183,23033,8,2543140,5,1823,2406,307,61,2.62005e+06,3
14_LeoNiDas_53,1231,1254310,1428,24,7745,2,1715200,3,1182,2187,0,0,2.62772e+06,2
17110420,1211,1099822,2293,180,14824,5,2107900,5,4441,3012,32,9,6.23005e+06,2
1918rushb,1661,1455425,790,219,5118,7,1623270,3,1756,2411,5,0,5.32161e+06,3
19NicK64,1400,2092011,1652,38,10560,6,3032780,9,3038,3701,0,0,5.57781e+06,2
1strawberrymilk5,1048,1501173,1000,1296,5038,23,2579970,6,3533,2185,26,7,5.8937e+06,3
38irk-Vorob,1608,945788,766,77,4746,2,1404360,3,2670,3585,6,0,3.17153e+06,2
3G-Simmel,1992,690474,1398,115,7224,5,1831360,3,2354,4143,28,10,89020,2
3Smup,1581,1145513,3733,198,24096,8,1909270,2,1802,1538,11,6,2.77771e+06,2
710TOKE,752,1550913,246,14,3413,2,1675190,3,2904,3212,94,46,4.90488e+06,1
777996,521,1655959,582,293,7051,4,2420140,6,3270,3590,14,2,6.69865e+06,2
7ACT1CS,1816,1759622,130,0,361,598,1609720,4,2132,2551,0,0,3.86928e+06,1
937836304,1469,893600,2456,276,13092,7,1461900,2,2094,2502,6,3,4.13092e+06,3
9A64,1873,1317527,1657,71,8318,9,2599540,5,7684,3246,67,20,2.92348e+06,2
AGENT-TWIN,1596,1037419,642,127,3524,811,1415950,2,3290,4920,0,0,5.7497e+06,1
AKPatate_JDM,1018,880403,1675,20,8647,5,1593240,3,3797,3414,9,3,6.1538e+06,2
AMD_PREDATOR,1320,1610662,2157,155,6912,2,3273490,10,4317,3378,0,0,4.88567e+06,3
AN-Doggie,895,1650566,870,0,3244,6,2316650,4,4029,2027,156,44,7.23965e+06,1
APEPExd,805,656394,577,52,2796,2,1421940,2,1378,2409,5,1,1.72699e+06,2
APG4,1570,873153,6998,87,25907,538,2495830,5,4066,3709,30,14,5.71718e+06,3
APPLE_CombatAI_7,1788,1093358,1409,0,4792,1,1691740,3,2265,2572,2,2,2.86093e+06,1
AakashRT,736,868888,497,52,2186,1,1753960,4,2966,3703,17,6,4.25115e+06,2
AbbeYao,845,881701,851,68,6673,3,1465610,3,1951,3456,39,18,2.97282e+06,2
Abiratomarine,913,682475,1823,86,11427,3,1577560,3,2391,3053,6,3,2.63209e+06,2
Abraham497,832,1208107,151,81,1729,5,564771,842,497,3727,0,1,546735,2
Acid-Cyanide,881,1391707,3219,219,15984,6,3367570,9,3606,2785,8,6,5.23977e+06,1
Adanmarsan,634,1920563,1451,61,7312,7,2209140,2,1905,1571,40,12,765259,2
AddictedSamurai,834,1248663,5010,850,17766,12,2908030,5,2105,2686,167,110,2.46718e+06,2
AdrenalineTX,1639,957799,3531,277,16243,3,2303260,3,2312,3162,20,7,2.67604e+06,1
AggressiveFoxTV,1309,870607,572,94,4529,7,1592860,4,2583,4505,5,1,3.60083e+06,2
Akira72,3949,1323389,2894,80,7838,3,3751720,8,5890,5844,139,41,5.02079e+06,1
AlbaniaNimmortaL,1462,1376731,2627,53,11596,2,945316,1,1732,1515,30,22,1.36696e+06,2
Aldrian77_FR,1371,1597804,583,55,29699,9,2927120,5,2765,3041,33,5,1.5069e+06,2
AllDunner,805,2179568,2216,347,6274,6,2349190,5,2642,3157,105,38,4.66062e+06,3
AlphaWolfXXY,1845,795299,4238,82,17801,9,1979260,3,3515,3010,36,10,5.20661e+06,2
Amujohns,2613,1433898,147,3,3755,36,2268920,4,2402,3071,1,0,4.53009e+06,2
AnaHajarajanaan,1663,694476,3908,72,12972,1,2361320,4,1889,2441,41,11,896460,2
Androga1,1968,1116693,4079,53,26856,22,2344480,4,3939,3634,0,0,6.10546e+06,2
AndyG_BE,782,957013,361,71,2912,17,2107270,5,4024,3232,29,1,2.28139e+06,2
AngryM13,1486,886074,1679,67,8475,5,2351650,5,2964,2847,6,3,3.98844e+06,2
AngryPengui,691,1219394,1308,153,7203,4,2149560,5,2789,3543,58,31,2.53488e+06,2
AoAoZero,958,2274577,4234,233,23743,13,2955060,7,5187,3799,21,15,6.75556e+06,3
ArchieGoodwin45,801,880668,1764,74,6331,8,1631840,3,2707,2245,123,59,2.97561e+06,2
ArteBionico,1040,1167655,741,0,3640,22,1478800,243,270,140,0,0,406680,2
Artein,1490,1009294,3686,236,22535,9,2960810,7,3661,2964,1,0,5.19747e+06,2
AscarX09,2288,762876,2443,40,4896,4,1700480,3,2658,3624,19,17,3.29595e+06,2
Atlasbzh,1086,1431598,3942,566,28190,20,3077050,6,3148,3334,8,3,3.84725e+06,2
Auge_v2142,2674,972350,563,58,2051,1,2492680,6,1767,4054,14,0,3.92443e+06,2
B0otyMain,1050,1069426,3364,79,6685,3,1832060,4,3189,3959,4,4,3.79002e+06,2
B1C4A12,680,1101524,2939,290,17966,11,2388240,5,4728,3814,11,3,6.9783e+06,2
BAL_N3M3SIS,1388,833113,3194,115,9706,7,2041050,3,2415,3488,89,11,2.50274e+06,2
BBBBBBBBBBUTTERS,979,1225385,1116,394,10590,13,1875180,5,3200,3637,11,4,4.26014e+06,3
BIGHOTTODOGU,999,672528,1786,43,13671,10,2612920,5,2458,4013,22,3,3.09894e+06,2
BL00D_H4WK,1057,1127842,1627,223,13803,10,2793610,7,3671,3408,151,49,5.54622e+06,2
BM_Stammtisch,924,776528,1865,108,8100,5,1987330,2,1457,1265,46,21,1.76116e+06,2
BOJIKODAB_61rus,1143,777963,1278,123,5261,7,1302930,2,1763,2029,18,15,1.87999e+06,2
BR-Spike,721,1373318,950,21,8043,3,2329320,5,2991,2914,63,23,4.99928e+06,0
BaCbKa_4anAeB,1038,1450573,1980,2167,8744,3,2304810,5,2593,3544,17,1,4.5767e+06,2
BananaKalli,887,1106759,4181,375,10728,9,2715040,6,3669,3512,31,14,5.50647e+06,2
BatmanOrAFK,1147,1278246,3150,62,9655,7,2367110,5,4689,2500,9,2,4.4374e+06,3
Bauernsau666,1789,864826,2453,169,12908,11,1939220,3,1749,2371,0,0,758920,2
BelgianBatman,1426,1129071,1771,53,56151,19,2720370,5,2711,3362,16,3,2.29425e+06,2
Bersntol,1236,1353472,2543,61,11230,5,1997250,4,4390,2149,68,12,6.04887e+06,2
Bhoastyex,1092,707306,1937,50,10428,5,1738000,3,2797,3252,1,0,4.92718e+06,2
BigFull_Cream,792,1292337,1818,713,10883,8,2483670,6,3589,5139,12,1,5.52896e+06,3
BillyBones17,910,1246389,674,4,2156,2,2077070,6,2508,2852,17,4,4.06116e+06,1
BlackScorpioSRB,1448,1313832,566,70,2699,3,1489040,4,1274,3782,39,13,2.63784e+06,2
BlackoutTSQ,740,1629792,1456,19,2895,2,2132360,5,2460,4901,0,2,3.6921e+06,2
BleedingWilds,1172,912918,2542,169,14299,27,2739640,4,4592,3070,28,3,4.34675e+06,1
Blitzern_,1019,1283652,349,121,3607,5,2462480,6,2561,2067,0,0,47990,2
BlueCelticPagan,1265,1772932,405,63,483,48,4048760,7,2666,6278,1,0,838820,2
BlueHawk47,1448,1166238,1623,943,13071,2,2105980,4,3570,5028,0,0,5.78382e+06,3
BoEH_kosh,1539,1368191,606,68,5402,2,1536700,4,4149,4023,2,2,5.84359e+06,2
Boeserketchup,808,1093330,1053,63,2393,3,1707750,3,1194,2936,360,135,827110,2
Bonzo_LEDZEP,1927,1039978,2444,106,20239,7,2107550,5,3993,4505,13,5,5.08864e+06,2
BrainLessUncle,1134,1177644,1703,421,11043,6,1392160,2,1873,2715,14,0,2.86295e+06,3
BruLee-91,1211,920815,1954,38,9129,5,1506480,3,2194,2545,15,5,2.95757e+06,2
Bruso49,1107,1259741,3759,89,16853,11,2149300,3,3866,3199,19,4,3.25082e+06,2
