Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
-GOE-FernandO,1076,1247912,2051,201,5246,7,2067860,4,4797,2358,1,2,8.17545e+06,1,1246900,1012,1075,1,11.0167,10.1446,5.9814
-ROC-Smile,1053,1387828,39,4,221,234,1715180,5,5774,4052,0,0,7.4448e+06,1,1387828,0,1053,0,0,0,0
-sB-Chieff,906,955897,1964,382,17368,5,2084090,4,2483,2463,12,9,4.64751e+06,1,955897,0,906,0,0,0,0
0kres,860,776751,1941,77,5807,3,1263250,2,2132,2438,63,10,1.40023e+06,2,776751,0,860,0,0,0,0
1221muflonPowah,1109,1294627,2812,131,22610,13,1796330,4,4370,3272,0,0,6.36119e+06,2,1294627,0,1109,0,0,0,0
1342stetter,910,1121301,805,126,9149,4,1801930,3,789,2118,7,3,726545,2,1112093,9208,894,16,36.8962,0,4.40349
1JohnnyUtah,979,1161573,2322,73,10033,1,1172120,1,1098,4413,16,8,2.12174e+06,1,1161573,0,979,0,0,0,0
1Lt_Ray-Ban,953,1025459,1441,201,11408,17,1954890,4,4080,2157,26,5,4.88972e+06,2,1024988,471,947,6,13.7645,13.1545,32.0533
1_Bot_Hunter,1168,908731,568,60,4287,6,1090120,1,1298,1361,94,43,904455,2,908731,0,1168,0,0,0,0
22solice,2540,3087858,615,18,1612,15,2161920,6,3339,2621,0,0,6.13012e+06,1,3087858,0,2540,0,0,0,0
2750_koala,959,845314,1284,108,9915,3,1396850,2,1841,2890,62,26,2.34203e+06,2,845314,0,959,0,0,0,0
32FaultyPopsicle,1492,1635395,834,5,2027,5,2410820,6,2078,3227,40,18,3.91895e+06,0,1614819,20576,1462,30,57.3117,12.7608,19.5786
4EPE5,1269,1388096,1414,438,11345,13,2040610,5,2988,4294,250,88,3.86424e+06,2,1388096,0,1269,0,0,0,0
4ygo,824,892127,2839,191,20793,4,1587180,2,3450,2962,21,14,4.87785e+06,2,892127,0,824,0,0,0,0
55Asandman,1030,1046477,834,65,275,5,2437250,5,2766,2104,1,0,7.13039e+06,1,1034558,11919,1019,11,33.7713,12.0875,7.22042
63HEHO,1230,1332247,461,65,14902,13,2366600,5,2347,2485,5,2,3.59363e+06,2,1332247,0,1230,0,0,0,0
69th_KeKe_Vlad,1129,1270561,6001,236,32746,21,2781260,5,4445,2787,5,1,5.75199e+06,2,1270561,0,1129,0,0,0,0
6steelblades,2323,1283306,852,87,7009,7,2034200,4,1247,1491,32,7,1.3699e+06,2,1283306,0,2249,74,74,0,2.23607
86VorteX86,1025,967176,1738,61,7868,3,2348790,5,2232,2383,188,80,3.10463e+06,2,965687,1489,1024,1,12.3913,30.3245,36.5405
A170D,1255,849395,3136,198,15790,3,2155200,3,1664,2008,421,109,1.83867e+06,2,849395,0,1251,4,4,6.59301,10.6992
ACTUALLYACTUARY,863,917364,906,864,16934,4,1743240,3,1270,2311,87,28,2.99328e+06,1,917364,0,863,0,0,0,0
ACpt44,772,900365,3017,281,7660,4,1425760,2,1442,2753,10,2,745870,2,900365,0,772,0,0,0,0
AMBUSH-SVK,1782,1014584,1746,119,8189,6,1810070,3,2320,2629,45,35,2.20662e+06,2,1002220,12364,1750,32,55.051,4.57168,18.3166
AMGroad29,1628,1722546,57,64,545,7,2174220,5,2973,3373,7,4,6.00325e+06,0,1722546,0,1628,0,0,0,0
AR-151982,1383,1304147,1094,81,7521,11,1666070,3,3367,2990,18,5,4.42628e+06,3,1293656,10491,1374,9,30.8239,16.3964,13.9245
ARG_JohnWar,2292,2433979,3049,108,19180,17,3118540,7,5512,4453,12,6,8.96605e+06,0,2411340,22639,2269,23,51.1947,10.8762,12.6495
A_Marm0t,608,732449,3225,195,10585,8,1575100,3,1384,2823,0,0,239475,1,732449,0,608,0,0,0,0
AbYxMaL,1631,1323492,1891,50,7352,9,1922440,3,1923,1966,5,5,3.49673e+06,1,1294262,29230,1595,36,66.6988,5.81236,21.4353
Ace-Hentai,1298,1333975,1025,209,8612,4,1724840,4,2689,2783,4,3,4.67989e+06,3,1330698,3277,1296,2,16.8134,21.1959,24.2997
AceAfricanPilot,705,880254,1195,15,10919,12,2050320,5,2569,3657,11,2,1.92791e+06,3,880254,0,705,0,0,0,0
Aceoszto,1269,1290162,1076,152,5767,2,2222160,5,3171,3668,22,5,4.87999e+06,2,1290162,0,1269,0,0,0,0
AgrzenysCSU,774,757336,1696,106,8957,8,1307870,2,1359,2106,10,14,2.28318e+06,3,756725,611,773,1,9.46743,6.0025,31.5371
Aimzor-Vain,984,1232893,878,58,5494,4,1524040,3,4550,3241,0,0,5.43798e+06,2,1232893,0,984,0,0,0,0
Airshp,1496,1576947,1271,1332,47949,27,1801120,5,4775,4884,0,0,5.91841e+06,3,1576947,0,1496,0,0,0,0
Akgt303,1301,1331056,1604,103,2615,6,1890810,4,2089,2898,0,0,3.77396e+06,1,1324647,6409,1294,7,25.5209,5.54042,8.37603
Akizukicyan,1275,1270675,814,288,21772,5,1671120,3,3043,2517,19,6,4.28098e+06,3,1270675,0,1275,0,0,0,0
Albundy76,1177,915200,2013,35,9336,14,1971310,3,2492,3153,67,41,2.57406e+06,2,914080,1120,1173,4,14.3607,0,3.90276
AlekseyHom,965,1185992,3775,330,23438,3,2674980,5,3058,4624,0,0,5.46874e+06,2,1160069,25923,935,30,59.4956,19.0077,31.8611
AlienMonsterK,1477,1533398,3588,243,10017,6,2384020,5,5523,4593,18,4,8.19029e+06,1,1516617,16781,1459,18,43.519,13.4897,6.71894
AllaboyHD,1186,1389086,147,105,784,1,1653710,4,2133,4382,36,6,3.60335e+06,3,1389086,0,1186,0,0,0,0
