Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
Sminkiottone,28,82135,82,0,338,0,148750,0,145,144,0,0,159670,2,71.305,24.9977,23.5372
SniperLeFou,113,274636,106,0,598,0,253190,1,149,296,0,0,612915,0,177.73,24.2477,12.8796
SniperScot-NL,0,11225,0,0,0,0,0,0,0,0,0,0,0,2,22.3209,0,0
Sombrecape,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SomethinLikeDis,0,0,0,0,0,0,0,0,0,0,0,0,-2.92327e+06,1,0,0,0
Spacepoepy,0,13156,0,0,0,0,0,0,0,0,0,0,-4.17212e+06,2,23.5325,0,0
SpencerLP,0,15101,0,0,0,0,1010,0,1,1,0,0,0,2,24.6382,0,0
Sphygg,0,22722,0,0,0,0,0,0,0,0,0,0,0,1,28.2291,0,0
StarAdmiralx,0,80788,0,0,0,0,0,0,0,0,0,0,-15300,1,43.0672,0,0
Starbmcd,26,120700,594,0,1439,0,102170,1,86,33,0,0,249160,1,75.2276,16.5194,85.9172
Steil2809,0,32617,0,0,0,0,0,0,0,0,0,0,0,2,31.8403,0,0
Sthlippery_Stair,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
StormCrow_SC,54,88487,675,0,1345,0,243880,0,163,126,0,0,440670,3,98.3926,22.7155,45.1976
Supremex11,25,71793,10,0,21,0,46850,0,39,76,0,0,102690,2,66.4072,12.3371,7.57949
SzechuanGoose,0,22704,0,0,0,0,0,0,0,0,0,0,-6.12052e+06,1,28.2216,0,0
TSMExaltedOrb,0,1809,0,0,0,0,0,0,0,0,0,0,0,1,12.1542,0,0
TacOp280,34,106394,74,0,59,0,133920,1,41,119,0,0,-420,2,81.2023,0,10.9217
Taisetsuz,15,191768,108,0,77,0,55450,1,100,15,0,0,395540,3,72.4334,26.509,19.7971
Taiwan-Aksks,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
TankHulk,19,29959,21,0,35,0,78220,0,77,58,0,0,235110,2,49.9516,21.1287,10.0097
Taturtot,0,14509,0,0,0,0,0,0,0,0,0,0,0,1,24.3123,0,0
Taukan,0,36019,0,0,0,0,0,0,0,0,0,0,-111410,2,32.9098,0,0
TeTn-tVerzet,58,186529,215,26,786,1,175590,1,159,250,0,0,424940,2,114.906,26.296,24.4174
Th0mps0n73,12,30493,0,0,11,0,66710,0,41,44,0,0,137300,2,43.1343,18.3523,8.63474
The-litter-cloud,11,17532,0,0,0,0,32820,0,7,22,0,0,132250,3,36.8938,9.20555,7.39032
TheBlanquillo,77,133680,116,0,703,6,308580,0,256,377,0,0,226870,2,127.931,22.8987,17.9562
TheBrokenRooster,18,28302,51,0,110,0,43700,0,40,38,0,0,-4.96822e+06,3,48.3707,0,15.0189
TheFuzzyRedDice,17,72708,92,5,130,1,46120,0,30,53,0,0,-39590,2,58.5821,0,20.2164
TheJohnMan1980,333,342116,597,2,2418,0,701500,1,1054,659,0,0,2.76461e+06,0,402.643,79.8961,15.7743
TheReidOption,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
