Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
-GOE-FernandO,1075,1246900,2051,201,5246,7,2066580,4,4793,2357,1,2,8.17235e+06,1,1246900,0,1075,0,0,0,0
-ROC-Smile,1053,1387828,39,4,221,234,1715180,5,5774,4052,0,0,7.4448e+06,1,1387828,0,1053,0,0,0,0
-sB-Chieff,906,955897,1964,382,17368,5,2084090,4,2483,2463,12,9,4.64751e+06,1,955897,0,906,0,0,0,0
0kres,860,776751,1941,77,5807,3,1263250,2,2132,2438,63,10,1.40023e+06,2,776751,0,860,0,0,0,0
1221muflonPowah,1109,1294627,2812,131,22610,13,1796330,4,4370,3272,0,0,6.36119e+06,2,1294627,0,1109,0,0,0,0
1342stetter,894,1112093,805,126,9149,4,1795900,3,789,2117,7,3,726545,2,1112093,0,894,0,0,0,0
1JohnnyUtah,979,1161573,2322,73,10033,1,1172120,1,1098,4413,16,8,2.12174e+06,1,1161573,0,979,0,0,0,0
1Lt_Ray-Ban,947,1024988,1408,201,11287,17,1940040,4,4055,2145,26,5,4.85779e+06,2,1024988,0,947,0,0,0,0
1_Bot_Hunter,1168,908731,568,60,4287,6,1090120,1,1298,1361,94,43,904455,2,908731,0,1168,0,0,0,0
22solice,2540,3087858,615,18,1612,15,2161920,6,3339,2621,0,0,6.13012e+06,1,3087858,0,2540,0,0,0,0
2750_koala,959,845314,1284,108,9915,3,1396850,2,1841,2890,62,26,2.34203e+06,2,845314,0,959,0,0,0,0
32FaultyPopsicle,1462,1614819,693,5,1756,5,2354610,6,2016,3160,40,18,3.76752e+06,0,1608607,6212,1456,6,24.3293,22.9625,55.9897
4EPE5,1269,1388096,1414,438,11345,13,2040610,5,2988,4294,250,88,3.86424e+06,2,1388096,0,1269,0,0,0,0
4ygo,824,892127,2839,191,20793,4,1587180,2,3450,2962,21,14,4.87785e+06,2,892127,0,824,0,0,0,0
55Asandman,1019,1034558,834,65,275,5,2407350,5,2724,2086,1,0,7.06902e+06,1,1030692,3866,1016,3,18.6516,13.3126,7.79921
