Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
-5213-YucnW,963,1072373,785,161,9014,3,1266730,2,1108,2469,3,1,2.05588e+06,3
-BGS-CoRteX,1064,1038136,708,68,1849,1,1648090,3,2121,3882,47,14,3.69959e+06,2
-FRA-Fisch75018,1286,778573,6650,301,47468,5,2354360,5,3233,2489,111,31,4.01995e+06,2
-HERO-M4Aone,722,1460527,2184,318,14291,12,2171690,4,1920,4720,5,14,4.05729e+06,3
-HRN4-AsukaMie,1358,948726,128,37,387,1,976095,2,2572,3094,6,0,4.33658e+06,3
-MouBimex-,922,910595,1741,58,9100,1,1385480,4,1705,1778,0,0,2.60369e+06,3
-S0NLaK3-,911,867657,2314,50,13864,4,1594190,3,3529,3584,31,11,2.58678e+06,2
-Saiyan_1988,1072,1204833,937,129,5080,5,2306560,6,4281,3998,10,3,5.98677e+06,2
-VF-Nr1_Tulling,1239,1196195,557,21,10245,18,1594080,3,4012,3386,67,29,4.3273e+06,2
-XS-Damage-UK,1079,889542,120,0,27200,110,1519590,2,2119,2082,245,80,3.62283e+06,2
-vkv-nacho,932,1282052,917,13,7237,7,2009800,5,4591,3151,0,0,6.53987e+06,1
020976,1049,1349493,2276,69,17823,3,2619660,7,1856,2645,0,0,335975,2
0_Coriolanus_0,1104,1404327,899,8,3265,906,1947940,5,3094,2430,47,31,4.03337e+06,2
1846621902,1257,1274461,1387,384,13047,8,1762040,3,2529,2301,2,1,3.62867e+06,3
1999519,1134,801754,8085,35,45495,2,3907600,8,4767,3101,0,0,5.17462e+06,1
1CamperKiller1,661,1560945,1142,53,4645,1,1515190,4,2589,4071,0,0,4.24404e+06,3
1ClassyEagle,1280,642412,1003,151,4839,2,1498240,2,1789,2380,8,5,2.41761e+06,1
1V8f9B3,579,1321954,2030,90,15513,4,1925540,4,3792,3222,31,10,4.96236e+06,2
21XX63R3BNHQ,1176,596612,288,45,3520,199,799711,1,939,1857,0,0,3.13341e+06,3
2366270004,764,820523,4335,112,20858,14,1460610,2,1855,1854,0,3,3.10134e+06,3
2ix-,823,987804,1595,3,5709,40,2550080,7,3641,4393,8,5,4.0298e+06,0
3BEPbexe,841,630211,1972,23,8059,3,2259400,4,2857,1704,1,0,3.75817e+06,2
3NfLuRe,671,856578,2012,87,14608,6,1939570,4,3675,2311,16,1,5.63448e+06,2
610980061,835,867299,968,111,6161,2,1031190,2,1737,1560,2,0,3.9274e+06,3
7410173903,1040,2464981,626,62,2753,5,1785940,5,4351,2612,0,0,6.69345e+06,2
8-Pizzapelle-8,2263,2918493,3031,95,20445,10,5096460,14,14484,9020,15,0,1.99663e+07,2
88Freisler,2697,1388828,259,91,886,15,1532640,3,2901,2966,0,0,5.04391e+06,2
