Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
-CrazyV1to,105,77932,10,54,28,794,151756,252,108,214,0,0,323080,3
-CrysisGuru3-,249,270232,492,12,2828,1,317685,902,874,898,1,0,1.14306e+06,2
-ENG-Blackfox,212,202692,37,0,159,32,211342,552,584,707,7,5,585175,2
-ES-JB_Sniperxx,250,259768,11,0,42,185,248243,566,317,508,10,1,589760,1
-HRN3-LEccc,259,207911,800,3,4235,2,326633,453,416,329,0,0,626160,3
-KoDy-048-,276,246498,1,0,78,1,274783,630,194,316,2,4,275014,2
-LTKx-SwagYoloxX,83,73808,187,0,775,450,149227,230,281,383,7,1,506870,1
-NMS-Athos00001,185,170337,603,61,1433,543,536577,910,744,436,11,7,1.07555e+06,2
-NX-Ishmael,333,257906,529,87,3060,2,474454,842,676,848,0,1,1.23806e+06,3
-XH-xiaoSANgod,346,292994,108,19,753,234,214738,701,464,291,0,0,717905,1
-dexter-RUS,634,514815,461,32,2264,1,801623,1,1162,1714,1,2,2.12995e+06,2
01NDan,438,192356,296,0,713,6,664257,2,1732,649,0,0,665430,2
032008,190,174156,653,136,2734,139,182450,229,232,166,14,5,254010,2
1085009932,348,406208,438,16,2760,464,295624,766,634,823,4,3,801415,3
1289197845aaa,348,235018,3,0,23,162,143869,341,347,195,2,6,743979,3
1337HentaiMaster,169,173621,186,7,588,656,220418,588,473,454,2,2,267740,1
13TOP_KEK37,189,140613,770,9,3444,969,290846,484,312,479,6,4,788715,3
141_Cpt_Soap,82,84053,226,53,798,1,192781,331,156,321,3,0,116725,2
1525949408,114,86465,120,5,930,1,185327,317,223,194,0,0,692375,3
1621822736,361,342578,502,158,1901,1,428921,1,709,713,1,1,1.0803e+06,3
162vdv,486,296930,136,0,989,319,190550,336,211,240,0,1,271360,2
17099852,422,266414,355,10,3195,1,200342,552,378,314,1,0,460670,3
1923757,105,82842,146,12,595,521,145915,233,284,253,1,0,219680,1
19_Matty_74,642,657592,262,0,333,100,402267,1,1536,444,0,0,2.06096e+06,2
1MasterNinja1,96,65695,58,0,340,94,86539,105,44,280,6,1,105695,2
1ceR4n,115,83041,136,10,1282,1,150985,236,231,265,1,1,296255,3
204365965,602,633941,377,109,5080,2,638673,1,1119,1394,2,0,2.21416e+06,3
2236028606,294,253309,130,11,539,958,58650,182,124,276,0,0,556875,3
22_chri,246,212905,456,76,2278,2,409010,1,302,440,68,14,146780,2
2420233649,142,105307,324,12,2043,1,209546,270,92,271,18,6,291760,3
27TB,233,235939,260,59,1687,1,302896,558,680,1033,2,0,1.07291e+06,3
2864578910,201,228845,350,45,1781,321,204641,585,186,663,0,0,1200,2
294989691,236,241295,304,65,344,417,159109,280,323,279,0,0,385760,3
2N3904,228,181746,43,66,37,3,182934,353,271,323,0,2,594985,3
2T-FeNiX-T2,147,133854,513,7,2975,4,216617,404,188,338,0,0,84870,2
2o-Furkan,175,131849,414,16,1923,517,426290,842,435,629,0,0,812745,2
2thunda,146,173528,480,14,610,183,221291,524,163,399,0,0,23575,2
362909280,175,98582,299,50,1675,354,176344,153,101,117,4,0,203140,3
3H16,185,246410,232,7,1585,1,304289,892,797,540,0,0,976200,3
47enth,137,108167,195,0,844,1,235660,433,322,323,3,4,528475,3
4FriedRice4,342,261964,615,103,804,1,223752,674,813,386,10,2,681800,3
4P-57,147,178613,264,17,2276,1,266292,662,332,581,0,1,218425,2
553790298,180,203395,92,2,682,69,244677,481,316,230,0,0,806000,3
58457854,167,70613,322,10,739,110,127916,323,250,283,0,0,370850,3
72darkman72,323,348461,118,0,650,586,239821,603,361,484,1,0,478640,2
773023,162,118879,184,13,729,115,163079,300,241,175,1,1,241185,2
77szisze77,419,305915,14,0,0,0,85720,189,305,413,2,0,211970,2
7Zefur,114,85990,254,0,915,116,168075,269,113,111,30,5,89535,2
7starts,149,101146,255,11,479,453,209978,372,271,242,0,1,911165,3
7zicrows,368,409960,604,73,4429,4,486191,1,971,555,0,0,997136,0
879353671,192,171305,36,29,875,1,268955,508,445,171,4,1,920235,3
9-DeFense-1,157,171985,109,56,1197,595,315417,802,453,509,0,0,533775,1
911_Revo,102,110687,95,0,1206,464,147798,305,329,380,3,2,359066,2
915458303,55,42514,26,24,112,620,39399,64,45,332,0,0,238775,3
919287760,285,322903,396,17,2652,798,303472,985,854,544,0,0,983725,3
929007793,142,127252,143,15,808,669,145560,321,169,318,1,0,406695,3
930805VVW,132,142672,152,46,881,1,190311,400,336,355,4,0,541770,3
99CentFishTaco,509,311288,1397,335,5455,355,447433,480,217,239,5,5,267875,1
A1phadog1970,316,364792,519,0,2630,4,452241,1,700,893,0,0,832379,1
ABrownWhiteGuy,281,226801,1137,53,3930,399,435458,644,319,281,86,19,358410,1
AHappyRacoon,356,234199,758,6,4762,984,446752,762,460,519,28,16,417550,1
AJoutbreak,262,242776,225,35,1521,2,264204,605,347,543,0,0,457910,1
AKA-Marv,161,118041,88,0,1193,88,184318,406,241,335,0,0,198410,2
AMAXHERO,294,183149,414,20,1233,807,268869,565,658,286,0,0,407085,2
AMBITIOUSMEDIC19,414,314866,1150,32,9722,497,459412,997,463,511,28,16,296320,2
ATXGodzilla,166,198325,331,0,1153,644,263834,635,405,455,1,4,597245,1
AUT-Rothmor,157,149216,245,52,1713,1,284661,626,229,301,1,0,392820,2
AWWWYEAH111,251,242922,690,2,4871,1,613237,1,667,571,0,0,1.29807e+06,2
AbeKaynanaNaptin,139,113364,455,0,3996,29,251258,388,253,182,0,0,306750,2
AbraxasInGame,287,252733,323,28,1368,577,396517,1,727,518,84,33,740575,2
AbsolutHank,213,232875,205,31,3722,2,287161,839,807,748,3,1,712682,2
AbulSeus,121,125560,180,10,1112,95,156503,330,239,418,0,0,216925,1
AbyssWanderer333,353,357370,1233,127,4348,2,722726,1,1171,1156,0,0,1.35269e+06,2
Acegun77,136,159964,508,1,2344,353,296790,519,318,491,0,0,583750,3
AdamSti615,222,191408,471,0,3858,1,288458,767,531,531,12,9,281055,2
AdeWang,220,255185,143,49,711,2,229887,666,384,421,0,0,388400,3
AdjectivePoem9,199,204604,295,5,1533,2,318864,783,499,345,0,0,657225,2
Adoluphus,500,240808,348,0,2603,564,370298,721,562,388,0,0,207895,1
Adrda,257,304535,269,23,1527,1,396357,1,717,938,0,0,743435,1
Advanced_CPU,116,118694,504,22,3078,153,173273,413,156,342,3,2,84550,1
Aelistia,149,117425,315,3,2070,219,269270,410,256,329,6,3,253540,1
AffaDavid,212,211268,588,0,2351,1,326418,897,604,403,0,0,821715,3
Agamendor,208,175095,251,8,1844,2,232984,573,319,456,2,3,410970,2
Ahfishinsea,255,205307,116,30,555,633,263480,586,416,443,1,1,425235,1
Aidyn006,541,394805,1027,72,5288,1,649329,1,799,549,0,0,1.44323e+06,1
Ainz_Nira,210,179109,99,1,363,209,229829,696,651,383,0,0,910275,2
AiolosOne,237,314388,137,8,1164,1,335598,1,452,485,0,0,411100,2
Airspeed888,410,445240,696,1,2647,4,564397,1,910,1294,0,0,1.11753e+06,2
AkatsukiSect,116,74589,74,11,180,606,40665,77,228,273,0,0,994725,3
AlbaneinCowboy,221,254119,879,1,3673,3,333060,796,410,532,0,0,78035,1
Alch3m15t,250,250591,60,0,146,2,357845,1,432,311,0,0,603515,2
Alcloner,104,84385,118,38,468,192,142037,241,235,161,6,9,492490,2
Alda_CZpc,356,289892,84,0,832,6,336478,1,1003,729,0,0,566670,2
Alden49150,212,194166,46,4,297,539,286536,771,436,445,11,4,688635,2
Aldog626,166,213934,19,254,113,2,279220,788,709,288,0,0,1.26602e+06,2
Alex12163,101,111040,199,12,1024,637,139497,299,215,310,0,0,278295,2
Alex77127,134,137600,138,64,843,1,377221,694,425,238,0,0,969760,2
AlfearRRR,160,180818,232,5,924,239,210027,485,392,376,0,0,400020,2
AllZed,105,112708,464,178,4917,529,294415,729,250,252,10,10,56900,2
Altenat,147,118625,301,51,1235,1,166931,209,210,296,5,2,298865,3
Alulolx,271,203788,223,2,2795,862,327053,586,493,444,37,20,537580,2
Alumni-Eghhh,76,86141,57,50,618,467,146854,276,196,247,0,0,459600,2
Ambeint,372,411705,92,0,235,97,244354,815,564,555,0,0,837800,1
AmvirgO2b,145,100964,478,27,1747,363,178100,373,349,264,1,0,523465,3
Amyuzuki,429,210324,549,0,904,0,240582,72,86,60,3,0,46110,1
AnAngryAmerican1,205,246003,233,0,1142,2,426417,1,713,958,2,0,765595,1
AnGrYM0ThErFcKr,355,297582,237,0,1333,297,217229,555,588,292,0,0,878840,2
An_UnKoOkEd_Egg,255,157902,32,0,282,40,103488,43,13,7,0,0,34760,2
Anaro1210,360,269148,109,5,122,32,265882,661,572,417,10,8,745994,2
Anchixi_jp,127,96244,317,0,1856,69,181964,160,276,352,16,2,161735,3
Andizlack,260,228041,358,14,4861,705,319809,848,904,690,13,3,729320,1
Andrei241,271,354939,13,5,213,144,70838,222,427,1011,0,0,527625,2
AndrewDV8,152,142976,271,0,1140,10,247725,546,374,214,1,0,574945,3
Andropioid,107,92110,383,19,1927,402,242563,404,216,333,0,0,397475,1
AngelOfWar626,179,190922,219,0,1129,1,399263,782,406,463,0,0,474680,2
Angerbibi,168,158604,169,4,328,496,169462,373,376,376,1,0,689835,3
AngryCarl_05,159,176540,356,28,2353,1,276961,713,395,535,2,0,332925,2
AngryPandaHAHA,368,321164,113,0,386,748,222487,592,660,358,0,0,887445,3
Anhong996,222,199757,9,13,31,394,164592,347,282,232,0,0,521640,3
AnimeLaine,146,207309,194,64,1837,1,281105,790,257,958,0,0,215900,2
Ant8490,153,94770,99,11,307,2,246159,414,281,231,4,6,474295,2
Anti-Thomo,290,261068,442,22,2015,662,450151,1,730,984,17,1,457680,2
AnxiousSketch,118,113678,341,2,1751,1,227526,414,96,225,0,0,36235,3
Appletaco123,286,226475,403,39,1500,3,412048,921,788,749,2,0,1.30105e+06,1
Ar4sk,377,198064,915,145,5862,2,340471,357,350,261,0,1,314170,2
Aragorn112_PHX,266,412683,177,76,962,5,368914,672,691,710,0,0,1.36248e+06,2
ArcAngL-OTG,219,226341,9,1,120,3,345498,995,921,620,0,0,1.13917e+06,1
Arctic_Cudi,255,309745,692,21,2984,964,375505,1,625,1120,16,1,721260,2
Areszo,138,96117,206,11,363,639,166933,483,268,391,8,7,184195,3
Ariellui,229,268922,1875,30,16699,2,399000,989,903,513,0,0,733210,3
Arthenor,201,231552,1262,18,7256,344,329399,762,450,703,0,0,83915,2
Asakuri1488,142,157134,202,0,847,274,151922,294,380,297,2,1,493645,2
Askingslinky5,336,377848,868,56,2167,1,499943,1,655,926,1,1,489905,1
Aslanmedic,110,96646,130,19,503,219,174277,341,187,505,3,0,346370,2
Aspiriin1,549,401413,2,0,33,2,704587,1,1389,818,5,0,1.67062e+06,2
Assutama,207,208547,572,228,854,754,478027,1,780,611,0,0,988010,3
AstralBard,188,166382,67,9,279,735,228149,445,174,237,0,0,86125,3
AstralXTC,297,204287,84,18,280,141,365946,1,968,677,15,1,846920,2
Athorius1990,132,150481,195,34,317,334,221054,411,208,406,0,0,130225,2
Atum_Bom,181,206086,663,35,2450,100,391906,861,513,310,5,1,890255,3
AudyGO,1148,699761,569,0,958,731,979657,3,2840,929,0,0,1.08068e+06,2
Author50CO,316,314969,407,25,1693,139,287886,762,269,619,2,0,452005,3
Avee95,111,117117,380,2,2248,279,210434,432,194,514,3,3,64795,2
AverageMerc,140,147538,730,54,5382,669,267852,431,339,447,3,1,403180,1
Avivan3334,125,79448,558,50,1086,452,226312,436,301,119,2,2,244640,2
AwipPL,157,149812,27,0,34,1,238668,593,338,258,0,0,103080,2
