Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
-GOE-FernandO,1075,1246900,2051,201,5246,7,2066990,4,4795,2357,1,2,8.17415e+06,1
-ROC-Smile,1053,1387828,39,4,221,234,1715180,5,5774,4052,0,0,7.4448e+06,1
-sB-Chieff,906,955897,1964,382,17368,5,2084090,4,2483,2463,12,9,4.64751e+06,1
0kres,860,776751,1941,77,5807,3,1263250,2,2132,2438,63,10,1.40023e+06,2
1221muflonPowah,1109,1294627,2812,131,22610,13,1796330,4,4370,3272,0,0,6.36119e+06,2
1342stetter,910,1121301,805,126,9149,4,1801930,3,789,2118,7,3,726545,2
1JohnnyUtah,979,1161573,2322,73,10033,1,1172120,1,1098,4413,16,8,2.12174e+06,1
1Lt_Ray-Ban,953,1025459,1441,201,11408,17,1954890,4,4080,2157,26,5,4.88972e+06,2
1_Bot_Hunter,1168,908731,568,60,4287,6,1090120,1,1298,1361,94,43,904455,2
22solice,2540,3087858,615,18,1612,15,2161920,6,3339,2621,0,0,6.13012e+06,1
2750_koala,959,845314,1284,108,9915,3,1396850,2,1841,2890,62,26,2.34203e+06,2
32FaultyPopsicle,1489,1634481,834,5,2027,5,2410450,6,2077,3227,40,18,3.91435e+06,0
4EPE5,1269,1388096,1414,438,11345,13,2040610,5,2988,4294,250,88,3.86424e+06,2
4ygo,824,892127,2839,191,20793,4,1587180,2,3450,2962,21,14,4.87785e+06,2
55Asandman,1030,1046477,834,65,275,5,2437250,5,2766,2104,1,0,7.13039e+06,1
63HEHO,1230,1332247,461,65,14902,13,2366600,5,2347,2485,5,2,3.59363e+06,2
69th_KeKe_Vlad,1129,1270561,6001,236,32746,21,2781260,5,4445,2787,5,1,5.75199e+06,2
6steelblades,2323,1283306,852,87,7009,7,2034200,4,1247,1491,32,7,1.3699e+06,2
86VorteX86,1025,967176,1738,61,7868,3,2348790,5,2232,2383,188,80,3.10463e+06,2
A170D,1255,849395,3136,198,15790,3,2155200,3,1664,2008,421,109,1.83867e+06,2
ACTUALLYACTUARY,863,917364,906,864,16934,4,1743240,3,1270,2311,87,28,2.99328e+06,1
ACpt44,772,900365,3017,281,7660,4,1425760,2,1442,2753,10,2,745870,2
AMBUSH-SVK,1782,1014584,1746,119,8189,6,1810070,3,2320,2629,45,35,2.20662e+06,2
AMGroad29,1628,1722546,57,64,545,7,2174220,5,2973,3373,7,4,6.00325e+06,0
AR-151982,1383,1304147,1094,81,7521,11,1666070,3,3367,2990,18,5,4.42628e+06,3
ARG_JohnWar,2292,2433979,3049,108,19180,17,3118540,7,5512,4453,12,6,8.96605e+06,0
A_Marm0t,608,732449,3225,195,10585,8,1575100,3,1384,2823,0,0,239475,1
AbYxMaL,1631,1323492,1891,50,7352,9,1922440,3,1923,1966,5,5,3.49673e+06,1
Ace-Hentai,1298,1333975,1025,209,8612,4,1724840,4,2689,2783,4,3,4.67989e+06,3
AceAfricanPilot,705,880254,1195,15,10919,12,2050320,5,2569,3657,11,2,1.92791e+06,3
Aceoszto,1269,1290162,1076,152,5767,2,2222160,5,3171,3668,22,5,4.87999e+06,2
AgrzenysCSU,774,757336,1696,106,8957,8,1307870,2,1359,2106,10,14,2.28318e+06,3
Aimzor-Vain,984,1232893,878,58,5494,4,1524040,3,4550,3241,0,0,5.43798e+06,2
Airshp,1496,1576947,1271,1332,47949,27,1801120,5,4775,4884,0,0,5.91841e+06,3
Akgt303,1301,1331056,1604,103,2615,6,1890810,4,2089,2898,0,0,3.77396e+06,1
Akizukicyan,1275,1270675,814,288,21772,5,1671120,3,3043,2517,19,6,4.28098e+06,3
Albundy76,1177,915200,2013,35,9336,14,1971310,3,2492,3153,67,41,2.57406e+06,2
AlekseyHom,965,1185992,3775,330,23438,3,2674980,5,3058,4624,0,0,5.46874e+06,2
AlienMonsterK,1477,1533398,3588,243,10017,6,2384020,5,5523,4593,18,4,8.19029e+06,1
AllaboyHD,1186,1389086,147,105,784,1,1653710,4,2133,4382,36,6,3.60335e+06,3
AlundraDhye,1103,1062450,891,26,5442,16,2398850,6,5421,2960,23,5,5.85607e+06,2
Amigomastergamer,1306,1514373,2479,586,12790,12,2734440,6,3456,2813,13,10,3.95611e+06,2
AnggaraBlade,901,970427,3615,104,16467,3,1734620,4,1443,2755,28,9,1.17024e+06,3
AnimalsArePeople,947,796836,1420,100,6160,2,1666130,3,2210,2479,89,25,1.79115e+06,2
Animeshnik_Sergo,985,1108384,2863,45,10846,3,1859770,4,2123,3880,43,13,2.3568e+06,2
AnvarAx,975,1014920,112,166,843,13,1604430,3,3471,3452,1,1,5.4245e+06,2
Anzai_tiyomi,1540,1668591,3147,238,14289,20,2505500,5,5031,5375,29,27,6.57259e+06,3
Aoba0302,1293,1371479,1346,17,4462,3,1655610,4,3246,3112,0,0,4.40662e+06,3
Arengeta,712,852451,1849,66,6558,2,1668610,4,3331,3346,11,6,3.91955e+06,2
Armegedon85,763,834144,2339,75,7406,18,2622750,5,3130,2841,0,0,5.10184e+06,1
Arr0wH34D,1371,1289413,2731,303,16470,5,3288420,9,5948,6563,55,18,6.14619e+06,1
AstroCrusad3r,1197,1285020,1842,237,13563,2,1547620,4,4320,4240,4,2,503830,2
AustinPD,2193,2166075,261,10,1708,325,2032600,5,1728,3007,1,0,4.64887e+06,3
AydarUA,1623,1452887,749,185,3137,4,1797460,3,2279,2506,0,2,3.79648e+06,2
Azret_Megalol,1424,1506636,2014,11,12465,4,1960350,5,3271,3170,79,52,4.55793e+06,2
B00tybanditxxl,2227,1029761,2008,0,8001,125,3304270,9,7916,4857,1,0,2.40699e+06,1
