Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
-GOE-FernandO,1093,1265478,2051,201,5246,7,2097000,4,4866,2385,1,2,8.29777e+06,1,1247912,17566,1076,17,42.9105,14.9157,6.43432
-ROC-Smile,1053,1387828,39,4,221,234,1715180,5,5774,4052,0,0,7.4448e+06,1,1387828,0,1053,0,0,0,0
-sB-Chieff,906,955897,1964,382,17368,5,2084090,4,2483,2463,12,9,4.64751e+06,1,955897,0,906,0,0,0,0
0kres,860,776751,1941,77,5807,3,1263250,2,2132,2438,63,10,1.40023e+06,2,776751,0,860,0,0,0,0
1221muflonPowah,1109,1294627,2812,131,22610,13,1796330,4,4370,3272,0,0,6.36119e+06,2,1294627,0,1109,0,0,0,0
1342stetter,923,1131775,805,126,9149,4,1810020,3,793,2120,7,3,726545,2,1121301,10474,910,13,34.8121,0,4.99399
1JohnnyUtah,979,1161573,2322,73,10033,1,1172120,1,1098,4413,16,8,2.12174e+06,1,1161573,0,979,0,0,0,0
1Lt_Ray-Ban,970,1035878,1474,201,11556,17,1975070,4,4144,2186,26,5,4.97208e+06,2,1025459,10419,953,17,38.7739,12.7286,15.8697
1_Bot_Hunter,1168,908731,568,60,4287,6,1090120,1,1298,1361,94,43,904455,2,908731,0,1168,0,0,0,0
22solice,2558,3105504,619,18,1623,15,2181700,6,3359,2641,0,0,6.1994e+06,1,3087858,17646,2540,18,43.9498,6.3309,5.75639
2750_koala,959,845314,1284,108,9915,3,1396850,2,1841,2890,62,26,2.34203e+06,2,845314,0,959,0,0,0,0
32FaultyPopsicle,1517,1659736,949,5,2411,5,2455570,6,2124,3326,40,18,3.98445e+06,1,1635395,24341,1492,25,53.8836,13.2149,25.5045
4EPE5,1269,1388096,1414,438,11345,13,2040610,5,2988,4294,250,88,3.86424e+06,2,1388096,0,1269,0,0,0,0
4ygo,824,892127,2839,191,20793,4,1587180,2,3450,2962,21,14,4.87785e+06,2,892127,0,824,0,0,0,0
