Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
BBCgo,764,716642,1634,98,2746,2,1559800,3,2219,1724,4,0,3.85902e+06,3,716642,0,764,0,0,0,0
BF1IOS24,2163,2166846,3703,48,12445,3,2541580,6,4984,5068,44,7,5.73791e+06,2,2135970,30876,2136,27,58.2639,21.4269,12.4715
BISON-UA,838,990140,1241,106,9484,5,1661370,4,2338,3025,0,0,4.18187e+06,2,990140,0,838,0,0,0,0
BMonk75,1006,1316598,1088,59,6384,6,1448360,3,2847,3199,0,0,4.47244e+06,2,1316598,0,1006,0,0,0,0
BR_Olekdrak,899,1097460,7,426,8295,3,1531060,5,3710,7036,1,0,346310,2,1097460,0,899,0,0,0,0
BaDpako,1352,935107,1739,51,11857,1,2348840,4,2935,1465,55,21,2.45697e+06,2,916446,18661,1322,30,56.4376,4.70075,19.9297
BabaYaga214,880,832009,1477,0,8811,1,818431,1,3010,2613,5,2,4.45821e+06,2,823413,8596,869,11,31.4231,12.4489,26.3936
Bacon_is_a_drug,1013,1198572,1710,401,13389,11,2018070,4,2493,4304,3,0,3.81511e+06,1,1198572,0,1013,0,0,0,0
Bader5100,1352,1302166,474,24,1571,1,1370010,3,2842,2509,6,9,4.24752e+06,2,1296186,5980,1347,5,23.0985,5.00814,9.12005
Balagevok89,1121,1051003,1690,155,15234,7,1712570,3,2508,2778,0,0,4.1485e+06,2,1041889,9114,1111,10,30.8249,14.3259,5.66237
Baneful_Bob,3087,1578255,1111,161,11027,6,1730920,2,1269,1140,14,5,1.89194e+06,2,1566221,12034,3064,23,45.8442,2.75084,4.996
BangeeDK,4834,1060569,461,52,7902,9,1609820,2,1746,2089,11,4,965225,2,1060569,0,4834,0,0,0,0
Barbabull,1072,1283018,4816,130,15700,3,2536540,7,4522,4830,3,0,6.42347e+06,2,1283018,0,1072,0,0,0,0
Barfy_Bill,793,924808,777,324,4649,7,1407880,3,1738,2536,0,0,3.48625e+06,2,899690,25118,769,24,53.1874,12.2807,15.5181
Bas5o,1422,1552679,5841,2302,26261,9,4255040,9,5302,3069,19,4,8.64144e+06,2,1552679,0,1422,0,0,0,0
BeHappy_Boss,1994,2176064,795,277,3650,5,3278210,8,6370,9845,0,0,7.85193e+06,0,2176064,0,1994,0,0,0,0
Bellamanno,928,797342,3034,190,11956,9,2227280,4,4721,2101,4,1,3.59085e+06,2,795912,1430,925,3,14.239,9.61286,8.05902
Bellicostic,1073,1310318,136,29,2665,2,1013530,2,1917,3868,0,0,3.25176e+06,1,1310318,0,1073,0,0,0,0
Benhur_NL,1077,879110,1134,19,514,1,1782560,4,3882,3237,12,14,1.94231e+06,2,879110,0,1077,0,0,0,0
Betongarsle,1234,1612388,721,697,13411,11,1474110,4,3669,4471,1,0,4.78737e+06,2,1612388,0,1234,0,0,0,0
Biefer,1443,1369350,650,15,3345,1,2769350,9,2311,3202,2,0,3.27093e+06,2,1369350,0,1443,0,0,0,0
Billdar,1152,1207336,1133,158,6047,5,1729020,4,3854,3669,10,15,5.64128e+06,1,1207336,0,1152,0,0,0,0
BiqDpapi,576,687688,2083,64,12885,2,1369240,2,1021,2629,0,1,805580,2,686398,1290,574,2,12.8599,8,15.7165
Biro_Biro_BR,797,864123,2282,299,13649,6,1818320,4,1923,2857,11,2,3.1527e+06,0,864123,0,797,0,0,0,0
BitterTea_Tsing,1160,1076046,684,515,4252,4,1188500,2,1100,3560,9,0,3.58456e+06,3,1066835,9211,1151,9,29.8985,6.28217,14.5378
Bl11ndm4n,1242,1120497,4486,33,16927,5,2710920,4,2786,4561,4,0,4.63596e+06,2,1120497,0,1242,0,0,0,0
BlackPantherII,1321,1465984,2354,249,8624,7,1568660,4,3709,1825,2,0,5.58851e+06,3,1465984,0,1321,0,0,0,0
Blacksky1963,1998,2169454,1317,146,4067,4,2034750,4,2630,2750,6,1,5.21476e+06,2,2165288,4166,1983,15,31.046,3.8305,16.3127
Blakex13x,1536,1702884,2224,108,14975,4,1883600,5,4940,3818,8,1,6.34578e+06,1,1702884,0,1536,0,0,0,0
BlandSpanx,643,694258,670,36,2767,1,1360980,3,879,2392,28,13,83920,2,677247,17011,627,16,41.635,20,10.0931
Bleraxx,1421,917755,5529,4,17453,2,2274280,4,3456,2783,3,4,768500,1,916465,1290,1418,3,13.8599,0,5.35588
BlingB0ng,1122,921868,2547,201,12729,9,1930150,3,3213,3684,2,2,5.07886e+06,2,906287,15581,1104,18,42.8963,14.5344,17.794
BluelitHalo,719,845971,1775,110,8583,26,1441190,2,2355,4952,7,6,3.58124e+06,1,845971,0,719,0,0,0,0
BoJue-os,1687,1596350,2147,246,9551,19,2778740,6,3342,3822,3,0,6.43241e+06,3,1564780,31570,1651,36,67.4962,15.9357,18.7895
Bobsterbox,898,923119,1063,409,3634,3,1817790,3,1710,1284,4,0,512280,2,923119,0,898,0,0,0,0
Bodhi3000,766,862257,426,65,5984,3,1369280,2,1117,2198,3,0,1.15314e+06,2,859428,2829,760,6,20.1057,7.55168,5.95197
Boewen,1000,1160567,1600,156,19480,11,1418190,1,1228,2912,3,3,2.21954e+06,2,1160567,0,1000,0,0,0,0
BogeBo,1414,1021452,133,11,529,10,3432950,6,722,587,752,132,2.1085e+06,2,1021452,0,1414,0,0,0,0
Bomb_Ass_Pussy,703,873564,2,0,18,16,1067310,3,1585,2142,2,2,2.4457e+06,2,873564,0,703,0,0,0,0
Boogie190,1224,1231081,253,8,231,179,1641040,4,1053,2480,8,8,1.19275e+06,2,1231081,0,1224,0,0,0,0
BoomBoomSmack,1068,836607,1032,47,5165,5,2208820,4,2981,1866,0,0,5.43474e+06,2,833389,3218,1059,9,23.724,7.86773,6.67567
BreexeOX,906,761967,1428,153,11229,4,1532010,2,1268,2165,77,32,1.41605e+06,2,761967,0,906,0,0,0,0
BrianOverby,735,701241,911,50,3580,4,1546870,3,2920,2278,1,1,3.76472e+06,2,701241,0,735,0,0,0,0
BrickHazard,910,843113,1700,63,12654,6,1669500,3,3505,3369,12,2,4.1759e+06,2,828438,14675,888,22,46.4045,12.4333,10.5548
BrickscHool88,1943,985891,11611,38,16412,1,3192300,3,2738,1003,16,8,1.984e+06,2,973450,12441,1899,44,67.0987,0,0
Broz_Cody,1190,1346780,1886,173,5395,5,1332780,2,2146,4970,5,0,3.04543e+06,1,1346780,0,1190,0,0,0,0
Brx_Brus,1315,1308708,434,105,12507,6,1741550,3,2680,2653,4,2,4.00776e+06,2,1307425,1283,1313,2,12.8403,12.2776,53.8292
BryceT713,1063,1284195,2068,324,13390,7,1735230,3,2279,2613,0,0,3.74435e+06,1,1280285,3910,1057,6,21.7107,7,19.1634
Bulletcatcher666,2078,2544437,18353,244,65286,9,4407900,8,6284,6503,0,0,9.18593e+06,1,2544437,0,2078,0,0,0,0
Buraczyna12,513,446012,729,67,3018,14,1093480,2,1107,2299,0,0,361650,2,412950,33062,463,50,81.9843,17.2886,13.2969
Burgersteel,681,729316,1135,66,7136,5,1043070,2,1590,3258,5,6,2.238e+06,2,729316,0,681,0,0,0,0
Busfahrer_Uwe,1007,1201357,1280,79,5121,1,1471700,3,3896,3224,0,0,6.01443e+06,2,1199148,2209,1003,4,16.9902,0,3.55656
ButterSweats,642,743867,10507,185,48201,10,2995560,5,2863,4226,4,3,254685,1,732066,11801,627,15,37.696,24,27.7865
ButteryLoins,1146,848467,3781,755,20689,9,2850180,6,2636,2950,68,44,2.80819e+06,1,841777,6690,1135,11,29.7874,9.51109,32.4521
CE4585,1361,1139929,703,77,1522,3,1394700,3,2404,2410,0,0,4.13253e+06,3,1139039,890,1346,15,24.5973,9.9976,9.16921
CHINA-CANTONESE,1467,1486966,112,1030,130,24,1374260,2,1322,1504,0,0,2.76295e+06,3,1431095,55871,1412,55,93.0902,3.10507,6.87336
CKLR_PH4NT0M,1600,1480176,1178,95,6035,3,1417800,3,1975,3148,51,13,3.55451e+06,3,1468710,11466,1585,15,37.4794,17.4299,39.4558
COMPASS_TV_KR,1448,1737404,521,711,6799,10,2369890,7,4935,4841,0,0,6.27023e+06,0,1737404,0,1448,0,0,0,0
COOGii3,778,889231,2199,197,11971,4,2042870,4,2382,4348,23,9,3.29993e+06,2,889231,0,778,0,0,0,0
Cabinis,491,531507,1104,53,2568,2,1123070,1,1355,2587,0,3,2.81142e+06,1,530650,857,491,0,9.47726,0,0
CaptnUnicorn,889,1123710,272,923,836,1,2569640,6,3755,3396,0,0,7.04946e+06,2,1123710,0,889,0,0,0,0
CarbonEggs,887,644290,442,160,4827,5,1475740,3,2081,2755,13,16,890770,2,644290,0,887,0,0,0,0
Carler1,1316,706778,1660,50,7895,2,2689100,6,4463,4115,6,2,1.4333e+06,2,706778,0,1316,0,0,0,0
