Username, Activity Index, Teamwork Index, PTFO Index, Region, Sent Friend Request, Accepted Invitation, Sent Message, Replied to Message, Applied to Clan
Flareo3000,2385,0,0,1
SirDamm,2181,0,0,1
Fesol69,1804.04,1.68179,2.02957,1
Mokkou,1675,0,0,1
Howie59,1623.79,2.1407,2.60697,1
ducecake,1458,0,0,1
papapayne,1166.52,1.18921,0.701954,1
_88_BUCKAROO_88_,1143,0,0,1
RWhite505,1083.92,2.2581,1.98394,1
NVMA_POMPILIVS,1064,0,0,1
ubbelohed,1040,0,0,1
KazuhiraMiller,1021,0,0,1
UpYoursJobu,965.465,1.86121,0.372509,1
Devildog360621,961.086,4,4.82241,1
iB_Johns,952,0,0,1
RIOBALDO7U7,947.749,1.41421,0.0429649,1
vueltegato,939.235,1.77828,0,1
Gen-ACEACE333,938,0,0,1
cocanee,928,0,0,1
MITA-Balanguinho,867.049,2.63215,5.1435,1
daev1s,862,0,0,1
w3kfk6kfgt5,853.08,2.27951,0.761223,1
GuardsmanMal,834.916,0,0.519945,1
NarcyZ311,834,0,0,1
DrManhattan235,797.539,2.4323,1.57657,1
Simizux,784.345,2.72327,2.80164,1
NitroTronic,766,0,0,1
Faptacular,754.788,1.77828,1.0972,1
Eco_Zero_122,750,0,0,1
Falzoned,741,0,0,1
Zakityzak77,735,0,0,1
7ACT1CS,717,0,0,1
BleedingWilds,714,0,0,1
JamesJC1973,708.351,2.90278,0.654452,1
MrFlyingLamma,705,0,0,1
Dioroxic,662,0,0,1
Akitakuma,660.184,2.79468,1.45747,1
FLG_Seatreand,659,0,0,1
AdrenalineTX,628,0,0,1
Cabinis,589,0,0,1
HaHa_GoTchy4,577,0,0,1
MelodiusFox,572,0,0,1
avitia9585,570,0,0,1
RogueGamer32,554,0,0,1
minazoko,550.234,1.56508,0.328984,1
NoLife585,547,0,0,1
DenyeRx,540.069,2.7477,3.24561,1
MikeAMoody,535.367,4.30283,4.29772,1
buggsy442,524.903,2.75967,4.43234,1
csokolowski1,523,0,0,1
ThomasSilk,519.929,2.92301,7.29686,1
Phake23,517.543,2.03054,0,1
Ionic0,514,0,0,1
cavon3721,507.205,2.499,1.14944,1
JAKSmad9,488,0,0,1
TLAZZO,479.979,3.52274,1.56419,1
Zugadori,469,0,0,1
aPatriot64,468.945,2.499,1.06102,1
LexyuTV,463,0,0,1
OnemoreDK,420.016,2.18994,1.10442,1
New-B-Q,415,0,0,1
benside0,414,0,0,1
xXMesoCycloneXx,406,1.62658,0.121076,1
enternalsoul21,399,0,0,1
EstradaBF,391.733,2.98131,1.15255,1
PepperRabbit,382,0,0,1
BillyBones17,380,0,0,1
YouresoBig,378,0,0,1
puneetdaddy,362.882,2.18994,0.133936,1
TheSlimeBeast,357,0,0,1
DjStrip,356,0,0,1
Xinlei1105,351.583,2.81731,0.454056,1
DarkerInfamy,348,0,0,1
Shadows17,344.302,3.00922,0,1
cut_colt,343,0,0,1
SmiriNerve,334.665,3.20868,3.80694,1
SpacemanSp1iff,323,0,0,1
deltaVader,320,0,0,1
RacaPeru,319.775,2.56075,0.836231,1
texeratx,304,0,0,1
Z00RZ,296.518,3.49964,3.62578,1
HK_respawn,296.18,2.69817,1.40079,1
AN-Doggie,294.992,3.40233,1.58037,1
Emenpy,287,0,0,1
linearUpwind,264,0,0,1
danagin,258.546,2.71081,1.99481,1
raldon123,255,0,0,1
ScorpionX3811,250.346,2.499,0.700239,1
bentwing1,247,0,0,1
DannoDemo,246.413,1.56508,0.245242,1
710TOKE,236,0,0,1
Sestelo,235.389,3.60021,6.07736,1
Khornate_Corrupt,234.409,7.17902,1.7047,1
WiliamShatnrFace,233,0,0,1
ckaken,229.089,2.46633,0.78653,1
JigsawPLYR,209,0,0,1
themadavenger,203,0,0,1
Fori10,191.581,3,1.34648,1
STAKS89,178.483,5.7653,1.95111,1
KiiNFiNiTi,175,0,0,1
N0ICY,171.517,2.53044,0.744703,1
idooke_BF1,168,0,0,1
Rikishi-036,167,0,0,1
Legend_27_Alpha,150.08,1.93434,0,1
jlara36,140,0,0,1
xXP4ND4Xx,134,0,0,1
jeffersons_wine,131.926,2.96226,0,1
SunFlowerSeeds,129,0,0,1
HD_Vanity,123,0,0,1
ButteryLoins,111.872,7.02323,2.55434,1
n7plus1,111.856,3.08859,2.30585,1
Ev1sr8r,109.532,4.3437,3.65091,1
ZOEIRAFIELD,98.3718,5.39596,1.27708,1
BenderArmand,89.6832,27.6815,25.3556,1
MAVERICKING,89,0,0,1
lzy4202,88.0576,0,0,1
CHUCKPATRIOT,85.7087,11.9581,15.1529,1
Ian_Wynter1969,85,0,0,1
Threattfull,82.2659,1.56508,0,1
BloodRed63,76.7628,12.7233,11.3124,1
nexT_Quenezui,75,0,0,1
mrmoocows,71,0,0,1
Amu5555,70,0,0,1
AbYxMaL,66.6988,21.4353,5.81236,1
MoJoPokeyBlue,66.1226,6.48166,18.6911,1
Halenio,65.5493,17.1256,15.3837,1
myhxz,63.6491,14.4954,1.79365,1
SgtColdNipples,63.097,6.86842,10.11,1
DeDosKa,62.797,8.70728,2,1
Yee_H4w,62.1256,2.57551,0,1
OhNoItsTommyGun,60,0,0,1
Audah_Abu_Tayeh,56.9829,29.7863,7,1
Lacanzinho,55.676,61.6098,13.5505,1
SYM-Colossus,55,0,0,1
YOMajorMaxx,50.8789,30.8118,35.4886,1
moneyhats,49.1317,7.09524,5.42384,1
ScarFaceRGF,48.14,29.1551,28.7888,1
ChefExecutifDCAP,47.7024,10.4136,13.0181,1
CyrustheVirus41,47.5401,9.21564,2.93078,1
Cute_girl_squad,45.4173,7.87213,4.24409,1
DrPixooo,45,0,0,1
Cheeky_Maccer,44.807,7.71756,3.2304,1
