Username, Activity Index, Teamwork Index, PTFO Index, Region, Sent Friend Request, Accepted Invitation, Sent Message, Replied to Message, Applied to Clan
DarkerInfamy,8857,0,0,1
RacaPeru,2722.69,1.49535,0.84398,1
vueltegato,1725.23,1.49535,0,1
Ian_Wynter1969,1520,0,0,1
KiiNFiNiTi,1425,0,0,1
ThomasSilk,1369.93,2.27951,7.29686,1
NoSkyllz,1354,0,0,1
LupisWuff,1338.74,1.56508,0.0952371,1
MoonGliderz27,1336,0,0,1
jlara36,1315,0,0,1
CitBolonUa,1214.01,2.0878,0.687189,1
Complector,1181.1,1.82116,1.37736,1
Legend_27_Alpha,1152.08,1,0,1
PaoPaoPaPa,1026,0,0,1
Fauschd,992,0,0,1
SpacemanSp1iff,962,0,0,1
Kilopimp5150,960,0,0,1
AN-Doggie,946.992,2.499,1.58037,1
The_Kite_Killer,928,0,0,1
SMURFFFFFFFFFFFF,903,0,0,1
HolyElements,901.805,2.88212,2.86847,1
salsaman009,891,0,0,1
Ionic0,840,0,0,1
aPatriot64,839.945,2.1407,1.06102,1
PakKROTE,788,0,0,1
MikeAMoody,782.367,2.9907,4.29772,1
NappingRenagade,780,0,0,1
Bulletcatcher666,779,0,0,1
HxJ-KingArthur,733,0,0,1
shavethesheep,731,0,0,1
papapayne,718.525,1.31607,0.701954,1
alexelliott83,717.602,1.49535,1.15549,1
710TOKE,717,0,0,1
Ev1sr8r,702.532,2,2.65091,1
benside0,680,0,0,1
JvDain,673.501,5.04526,1.62948,1
Simizux,625.077,4.07148,3.5293,1
OMC_Prof53,593,0,0,1
LOD-Jarhead,568.689,2.41474,1.28387,1
cut_colt,568,0,0,1
DasRooster,559,0,0,1
Rikishi-036,554,0,0,1
LordofOsiris,507.258,2.39678,0,1
Darthvelill,503,0,0,1
PepperRabbit,500,0,0,1
Akitakuma,476.184,3.03637,1.45747,1
Spigget,473.29,2.2581,0.716004,1
Magnumsmoke,466.964,2.73556,2.56995,1
JamesJC1973,460.351,4.25315,0.654452,1
Rogershappyson,457.575,3.13017,2.55538,1
LexyuTV,450,0,0,1
perpetuitas,440.247,1.77828,0.618771,1
Thestjestery,436,0,0,1
Acid-Cyanide,428,0,0,1
hnshooter,427.046,2.4323,1.24825,1
Peanile,416.258,4.83809,2.60561,1
PureIvy,413,0,0,1
NarcyZ311,413,0,0,1
NoonsYo,410,0,0,1
Fesol69,402.045,2.499,2.02957,1
New-B-Q,400,0,0,1
raldon123,386,0,0,1
MarkovKillChain,378,0,0,1
Threattfull,373.08,1.18921,0,1
SliceSeven,370,0,0,1
BleedingWilds,367,0,0,1
somna,362,0,0,1
L-Kilmister,358.571,2.2581,0.481594,1
DannoDemo,358.413,1.41421,0.245242,1
DenyeRx,358.069,3.07148,3.24561,1
SirDamm,344,0,0,1
puneetdaddy,341.882,2.21336,0.133936,1
SunFlowerSeeds,336,0,0,1
JimmyScraggs,328,0,0,1
Broz_Cody,318,0,0,1
papabud5522,311,0,0,1
RIOBALDO7U7,304.749,1.93434,0.0429649,1
relyz,302.38,2.46633,0.227899,1
mathdoc19,301,0,0,1
Squirrel_Gnut,301,0,0,1
IrishWhiskeyFan,287.621,2.61833,1.00389,1
RogueGamer32,273,0,0,1
N0ICY,270.517,2.23607,0.744703,1
FroggyStyleXZ95,269,0,0,1
UpYoursJobu,264.465,2.61833,0.372509,1
Faptacular,256.816,2.7477,1.80672,1
ckaken,255.089,2.39678,0.78653,1
donteraToo,255,0,0,1
Schultz_B,240.053,3.91115,4.52989,1
JAKSmad9,240,0,0,1
FilthyMacgyver,239.097,2,0.118568,1
Old-school-AK47,234.854,3.08007,0.696464,1
Blakex13x,233.715,2.7477,1.51967,1
WAR-WIENER-HPD,233,0,0,1
Xepburn,227,0,0,1
Vetterzor,223,0,0,1
danagin,222.546,2.81731,1.99481,1
QMKH89,218.341,0,0.0390979,1
OhCrapPANDAS,217.56,7.25567,4.05739,1
TheSkankyTank,217.277,2.59002,0.747771,1
SammichShark,213,0,0,1
Pty507Charlie,209,0,0,1
SmiriNerve,206.665,3.67297,4.80694,1
JigsawPLYR,201,0,0,1
lzy4202,196.058,0,0,1
EpicLaserBear,196,0,0,1
I-Kungfu-Guy-I,194.869,3.09704,1.86554,1
enternalsoul21,189,0,0,1
SgtSeymoreButts,181,0,0,1
Elzochow,167,0,0,1
Bacon_is_a_drug,161.799,2.18994,0.239477,1
Bellicostic,157,0,0,1
Reaper_7984,156.453,5.52676,10.9114,1
KazuhiraMiller,155,0,0,1
ButteryLoins,153.872,5.67801,1.55434,1
w3kfk6kfgt5,152.08,4.60555,0.761223,1
buggsy442,151.903,4.91115,6.43234,1
TheSlimeBeast,131,0,0,1
Sonyx272,127,0,0,1
Dirtyp88,123,0,0,1
deuces32,121,0,0,1
oPURT,118.812,3.482,0.785851,1
-vkv-nacho,117,0,0,1
Verskaizi,114.075,3.23853,0.5457,1
BillyBones17,109,0,0,1
Cacapantz,108.983,25.8173,22.7531,1
mapigeon,108,0,0,1
Victor-_-TheStar,106,0,0,1
TheGreatVikku,106,0,0,1
Zugadori,105,0,0,1
TeeBaggerVance,91,0,0,1
BenderArmand,89.6832,27.6815,25.3556,1
kdr0001,89,1,0,1
