Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1MarcosRocha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-CN-PoisonArrow,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-ESi-Clemente,1,620,0,0,0,0,790,0,1,2,0,0,0,1,9.50876,6,5.3016
-En3-Aida67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-II-MaladiA-II-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-SAC-MyTank,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-SAGA-084,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-T0MT0M-81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-TIF-Megatron,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-aQ-Faceman,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-bZ-Dustbuster,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-keep-away-bro-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-veN-ViClOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0oTiTio0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1225gosh,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
123bbc,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
123washere,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141Ghosts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1XxXeRoXxX1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2Fast2Jumpen,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2HungryEars,16,5982,0,0,0,0,4830,0,0,0,0,0,0,1,34.1005,0,4.16526
2_Sauced_2_Pork,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2ez4gg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nded,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3ya4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
5w1n3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
68Fatjoe,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6c33c,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
75Micha,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
82ndRaygun,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8kan,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
97Tgc,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
9_Dr-Jekyll_1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
A3XSnake_Cobra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AIMKRAFT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AIbatraoz,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AId0-Raine,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AIeXie,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
