Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-ASG-Mashaly,2,4053,5,0,27,0,6480,0,5,9,0,0,1.52459e+06,2,17.8997,54.1568,23.5446
-V4p0R5h4rK-,0,0,0,0,0,0,0,0,0,0,0,0,4.74496e+06,3,0,0,0
101A-AutoPsiE,0,0,0,0,0,0,0,0,0,0,0,0,658355,2,0,0,0
17Creem,0,0,0,0,0,0,0,0,0,0,0,0,94650,3,0,0,0
74-freaky-74,0,0,0,0,0,0,0,0,0,0,0,0,720490,2,0,0,0
7KillIt,0,0,0,0,0,0,0,0,0,0,0,0,290150,2,0,0,0
AIN01,0,0,0,0,0,0,0,0,0,0,0,0,6.51658e+06,2,0,0,0
ANTI_PSYOP,0,0,0,0,0,0,0,0,0,0,0,0,1.33139e+07,2,0,0,0
A_Meditatin_Monk,0,0,0,0,0,0,0,0,0,0,0,0,65825,2,0,0,0
A_New_BISUer,2,1480,0,0,0,0,840,0,0,0,0,0,62600,3,13.3683,2.12549,4.52702
Abby_Triumph,20,19183,78,0,453,1,56600,0,76,68,0,0,132590,2,46.6816,18.2154,33.2937
ActionStachMan,0,0,0,0,0,0,0,0,0,0,0,0,2.79202e+06,1,0,0,0
Akumander,0,0,0,0,0,0,0,0,0,0,0,0,153175,2,0,0,0
AlmostLikeNinja,3,3090,0,0,13,0,11060,0,20,12,0,0,56825,2,17.5263,22.9465,11.7918
Alone4224,0,0,0,0,0,0,0,0,0,0,0,0,1.1116e+06,2,0,0,0
Amtalove,4,3307,15,0,67,0,4070,0,6,22,0,0,855020,2,18.8584,37.4743,25.6472
Angri-fart,6,8240,0,0,0,0,750,0,2,7,0,0,900295,2,26.1374,27.6243,3.3437
AngryChair123,0,23,0,0,0,0,0,0,0,0,0,0,1.70114e+06,1,2.8409,0,0
ArekRybaPL,2,940,0,0,0,0,1060,0,0,0,0,0,306500,2,11.7735,9.09822,4.7981
AstraVod979,0,0,0,0,0,0,0,0,0,0,0,0,576915,2,0,0,0
Asupara77,0,0,0,0,0,0,0,0,0,0,0,0,1.16697e+07,3,0,0,0
AvinBuck,0,0,0,0,0,0,0,0,0,0,0,0,1.09918e+06,2,0,0,0
Ayghan,0,0,0,0,0,0,0,0,0,0,0,0,4.08392e+06,2,0,0,0
BAMMBAMMMMM,1,1619,9,0,102,0,2660,0,5,2,0,0,120720,1,12.7133,17.8688,118.182
BBJoei,0,0,0,0,0,0,0,0,0,0,0,0,458775,2,0,0,0
BF1-5leek,2,2240,3,0,16,0,3100,0,9,7,0,0,182104,2,15.0507,21.638,15.2746
BUTA-YASAIKARAME,0,0,0,0,0,0,0,0,0,0,0,0,207325,3,0,0,0
BamseMums64,0,0,0,0,0,0,0,0,0,0,0,0,179430,2,0,0,0
BertilG,0,0,0,0,0,0,0,0,0,0,0,0,1.70378e+06,2,0,0,0
Blackie03,11,10860,0,0,2,0,5120,0,20,7,0,0,479520,0,33.0766,17.7471,4.64369
BoPe-ThE-BeSt-69,0,0,0,0,0,0,0,0,0,0,0,0,1.65981e+07,2,0,0,0
BocianJu87,0,0,0,0,0,0,0,0,0,0,0,0,608591,2,0,0,0
Brekk1e,7,7627,30,0,114,0,13710,0,14,41,0,0,1.58885e+06,2,26.6256,56.7283,26.652
BrianHrodulfr,3,2509,0,0,2,0,5510,0,10,12,0,0,1.30913e+06,2,16.5529,48.8547,6.54588
Broalarm,0,0,0,0,0,0,0,0,0,0,0,0,2.25635e+06,2,0,0,0
BunzingNL,0,0,0,0,0,0,0,0,0,0,0,0,780750,2,0,0,0
CHEforeverBlue,0,0,0,0,0,0,0,0,0,0,0,0,5.28573e+06,3,0,0,0
CRAZYWEIYi,0,0,0,0,0,0,0,0,0,0,0,0,17150,3,0,0,0
CashDi,3,3179,0,0,0,0,6170,0,10,6,0,0,1.64556e+06,2,17.6643,53.1118,6.73373
Chtiwolf,0,0,0,0,0,0,0,0,0,0,0,0,1.91886e+06,2,0,0,0
Chuck-Noia-CN,0,0,0,0,0,0,0,0,0,0,0,0,1.0343e+06,0,0,0,0
CoistBodhar,0,0,0,0,0,0,0,0,0,0,0,0,1.43641e+07,2,0,0,0
Cooxy,0,0,0,0,0,0,0,0,0,0,0,0,7.03905e+06,2,0,0,0
Cr1t1c4L_J0e,0,0,0,0,0,0,0,0,0,0,0,0,2.08165e+06,2,0,0,0
CucuHUN,0,0,0,0,0,0,0,0,0,0,0,0,1.22362e+06,2,0,0,0
D00M49,0,0,0,0,0,0,0,0,0,0,0,0,1.02491e+06,1,0,0,0
DEADLY087,3,1832,0,0,0,0,1260,0,2,3,0,0,104880,3,15.2055,6.40208,4.52702
DLT_HuanXiong,13,13660,0,1,6,1,25080,0,29,54,0,0,2.40127e+06,3,36.829,73.2923,6.62725
DOOMZDAY-HC,0,0,0,0,0,0,0,0,0,0,0,0,333050,3,0,0,0
D_Bagggg,3,3371,2,0,0,0,14410,0,17,24,0,0,7.52753e+06,1,17.9535,205.275,8.32488
