Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
-DK-KETREL-,693,758957,2322,71,13895,7,2329820,4,2513,3011,40,16,5.88525e+06,2
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-Fab-2a-fr--,2193,2088193,667,76,11259,6,3330680,8,4513,4903,9,1,6.09073e+06,2
-GEQ-1986,1838,1372863,1051,291,4615,13,3317340,6,773,652,1,341,2.42256e+06,2
-GrEeNz-1980-,2444,1707868,750,300,5936,5,4476140,10,737,1027,2,416,1.28918e+06,2
-MIZINAEI-,1146,952720,578,190,3944,22,1734020,2,1886,2372,0,0,4.59089e+06,3
-WaT-MaReLiS,1511,1564102,857,520,6670,12,2467240,5,4248,5387,28,7,6.98108e+06,2
00007kd,1355,1274546,3263,83,12924,-1,3205550,-1,5319,2953,-1,-1,836100,0
00majohnso00,1253,1542138,2086,82,13684,9,2514620,5,5770,2692,0,0,1.00897e+07,2
1080pop,1105,1243667,2712,1202,15292,34,2930330,6,3807,2332,9,0,7.93681e+06,3
10namm,2780,2164540,137,52,838,17,2710470,5,2908,2466,5,4,4.61553e+06,2
192kHz_de,1755,2128153,1704,110,20163,7,2361060,6,2503,5120,14,6,4.6389e+06,2
19Edelweiss89,1091,1314383,4777,149,34714,10,2413310,4,2084,4823,28,8,4.51003e+06,2
1MiiiX-12-,1055,1185532,836,190,4348,1,2702040,7,6862,4341,0,0,637620,1
1Rise-of-Nations,1745,1851079,3611,752,16762,8,3174490,7,4058,5026,43,8,7.31452e+06,2
1cekaria,3186,1813137,4371,178,17714,6,3284390,6,3201,2813,67,43,3.32287e+06,2
21tim5608,1315,1465515,1918,269,8069,7,3456380,9,4722,4283,14,3,3.40442e+06,3
28lindenman,2024,2626734,3,0,69,17,2945870,7,8151,2454,0,3,1.26947e+07,2
292701596,1370,1603100,1668,104,15330,6,2165320,4,3305,3639,16,5,6.40547e+06,3
3BEPb55,1380,1505829,776,373,13535,13,2751920,5,3580,3688,37,30,6.76041e+06,2
3Zz122,946,953348,1473,88,4561,2,1898160,3,2060,2679,32,10,4.9144e+06,2
3n3-8I,1381,1236770,133,10,2496,48,2306540,4,2425,3555,23,4,2.94532e+06,2
420AESTHETIC,1053,844350,2206,484,10391,10,1757470,3,1948,3595,32,26,2.17832e+06,2
4Arrancar4,1664,1361203,2448,114,11962,5,2741850,5,3516,3017,45,21,2.42911e+06,1
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
5_ipkiss,918,1084870,1029,216,7721,8,1719320,2,1750,3108,21,10,4.17166e+06,2
65UNIT,1194,1312439,4248,25,20141,7,2924120,5,3649,3958,7,2,6.05524e+06,3
844372012,1547,1559283,3363,191,14565,10,2042630,4,2582,3503,8,3,7.20221e+06,3
9arbus,2133,2168015,686,1429,3972,3,4141640,12,8265,5802,14,5,1.28178e+07,2
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
ABajzel,1435,1739083,3080,75,13212,16,2493260,4,3955,2831,4,0,6.37346e+06,2
ALARealYou,1423,1418107,3146,60,19236,10,2867210,4,3877,3738,230,47,8.30499e+06,2
AMER-THETEAM,6884,7661280,1622,13872,17940,20,9103040,21,14036,20163,7,2,2.81785e+07,2
AOD_Blk_falcon01,1673,1470324,153,91,1091,1,2565680,6,3834,3016,10,2,7.10808e+06,1
AR99BOL,2873,2774837,928,104,8276,5,3176730,7,3351,5576,5,13,3.59389e+06,2
AUT-Kartoffal,1381,1614438,3877,239,27664,9,3610140,8,5437,5443,14,7,8.74577e+06,2
AZLawman,2259,2687580,1771,333,3347,3,2248290,5,5712,2748,120,13,9.81623e+06,1
A_Five_O,2661,3162110,176,111,1162,17,3509780,9,4163,3410,14,2,7.56723e+06,1
AcFan-mikoto,1453,1725792,1633,242,12504,6,2044960,5,3774,6591,0,0,7.36073e+06,3
AestusCalligo,1159,1277471,2125,621,8669,5,2762860,7,3381,5453,3,3,6.16094e+06,1
AhteTheGreatOne,875,1073011,984,88,5033,5,2433450,5,4019,4736,9,7,7.1167e+06,2
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Airotik,1452,988218,1632,78,6065,4,1466720,751,619,628,8,1,2.55213e+06,2
Ajjes,1279,1686742,349,28,2757,6,3884380,9,4939,6760,7,0,9.55012e+06,2
AlexDP0328,2561,2344746,3273,345,13060,-1,3423980,-1,2413,4266,-1,-1,7.16076e+06,0
Aloan07,1637,1703300,3529,1278,30115,24,4289280,9,5583,5470,6,4,1.00677e+07,1
AlphaArtanis,1487,1720755,629,105,7493,5,2663720,7,3884,4630,4,0,6.70453e+06,2
AluluMing,1658,1919215,1706,1943,13136,13,1797710,5,2464,5165,0,0,6.39261e+06,3
AmBoxerDog1,1689,1872493,770,280,3620,3,2575030,4,2050,2654,1,0,5.62847e+06,1
Ambiorix73,1835,2082927,2313,2277,21792,17,2897240,7,6148,6330,3,2,9.0413e+06,2
Amdanlik,769,1123391,389,92,1792,1,1423310,3,1235,3478,3,0,4.15975e+06,2
Andregerchsheim,1223,1429171,1631,106,25060,20,3534680,9,6776,6326,83,18,1.12591e+07,2
Anglachelm,1338,1584548,713,251,7323,2,1649870,3,1626,2129,0,0,4.72132e+06,2
Anglmker,1122,1542795,572,571,3243,3,2689120,6,1275,2561,0,0,3.40957e+06,2
AngryOldMan01,1490,2003999,2514,1226,8294,46,3223680,7,4075,3266,0,0,6.78111e+06,2
AntiSocialBfly,801,854491,3713,87,10446,16,2308300,4,1719,2652,2,4,4.04256e+06,1
Apathel,1466,1972547,2640,557,17302,9,3025700,7,3184,4328,2,3,5.67799e+06,2
ApocalypseTAZ,2053,1815966,369,109,4364,6,2534520,5,2425,3479,49,22,4.27878e+06,1
ArchDGabriel,854,928609,1284,164,6802,8,1665980,3,3214,3718,10,7,5.48259e+06,2
ArgentinoLucas,2894,2098695,3058,44,18456,10,2563090,5,3150,2666,18,7,4.31124e+06,0
ArieK4narie,2088,1200380,2755,119,11812,28,2967340,4,2697,1756,2,1,2.63482e+06,2
Arisgav,2494,1690894,4625,248,21822,9,2134320,3,3605,2368,33,20,5.54571e+06,2
Arkonisis,1445,1693982,1455,381,9591,19,3274320,6,3313,2219,5,1,3.57726e+06,2
ArminYashed,1676,1874721,2032,338,5444,6,2462930,5,4144,5097,5,1,7.49541e+06,3
Arnie85,1319,1709729,618,12,8121,17,3118960,7,5983,4848,3,1,9.05278e+06,2
Arsenz0r,1127,1241523,2154,79,8740,7,2583880,6,3167,5259,27,12,5.43917e+06,2
ArtaxGer,1501,1619820,1644,545,13535,22,2781680,5,4060,3829,20,15,6.37724e+06,2
Artooro1,1935,1852541,1727,398,8853,20,4067570,10,4554,3641,56,25,6.22596e+06,2
AsahaTx,1614,1767968,2724,121,19062,14,2733580,6,3780,4628,1,2,5.88513e+06,3
Asaj_Ventress,1478,1461540,4377,121,26107,8,3461620,8,8998,3811,11,7,1.21633e+07,2
Attila-lhuns,1847,1715026,6417,70,18032,376,3769080,6,3707,2817,114,75,7.00234e+06,2
Auruisting,1360,1268296,2456,124,11303,22,2185030,4,2509,2695,8,1,5.97621e+06,3
Av4l0n90,3071,2995817,3707,106,47836,19,4365800,8,3776,3846,6,6,6.45387e+06,2
Avenger-a,2159,2250267,2738,2712,16718,15,2793460,6,3161,5026,0,3,346690,3
Avitkom,1605,1595487,1813,148,10327,8,3252480,6,1468,1741,83,51,3.0802e+06,2
Axlerod1,1557,1687036,32,57,129,1,3784030,10,6192,8860,2,0,1.15889e+07,0
Azban1337,1471,1518905,3641,126,21842,7,2533140,5,2911,4927,17,8,5.10414e+06,2
B0STY,1881,1868724,2431,367,14665,10,3525060,8,4377,4152,250,62,8.34158e+06,1
B1G-T0NY,1304,1362500,4239,251,23040,18,4127530,9,4399,3368,45,10,7.39976e+06,2
BAZfromLH,1112,1238040,3692,49,25039,3,3223860,6,5177,6193,9,1,8.79854e+06,0
BIGEYEEEEEEEEE,5015,2871358,2509,133,9602,12,6614170,17,9187,7454,83,8,9.31873e+06,3
BLACK_Bloodshed,1067,1022959,6762,51,33046,6,3000460,4,2566,2595,57,32,4.83336e+06,2
Baaaauuum,1420,1286388,4991,150,28006,3,4396580,7,2436,2464,127,65,4.22241e+06,2
Bakuto27,1883,2103724,542,51,7782,55,2487300,5,3304,4241,1,0,5.52327e+06,3
BananaBomberV,3609,3358900,2995,862,25188,20,5787240,13,8670,5950,28,9,2.18883e+06,2
BananePT,2123,1040821,3446,78,5810,605,2657630,5,5181,4070,29,10,2.73429e+06,2
Barbecue_Boss,1262,1531315,196,0,785,248,1853580,4,2781,3116,0,0,34200,1
BeerTap,1033,954107,1971,259,9411,9,2724380,4,2439,2757,9,3,4.73534e+06,2
BelgianBast4rd,1529,1930195,19212,88,103781,10,9566780,21,9854,10334,12,1,1.4251e+07,2
BenGun1972,1524,1815309,1882,1037,19502,18,2648180,5,4807,2735,6,1,9.32108e+06,2
Benutername90,1681,2113447,257,47,517,2,1968350,5,3544,5673,2,2,6.92063e+06,2
Bestphantom,1806,1809808,4275,97,11361,7,3719360,9,4555,4183,22,4,7.54839e+06,2
Beunhaasjaap,1354,1458613,513,365,3630,2,2034970,4,2549,4455,42,14,5.62377e+06,2
Beviponce,883,941302,1710,182,6900,9,1539480,2,1609,3184,2,0,1.21338e+06,2
Beyrouthi,1654,2145965,1511,38,6992,4,2277580,5,2632,6349,1,1,87620,2
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
BlackEliteJack,1636,1704588,0,0,0,14,2871740,7,4807,2730,0,0,8.2449e+06,2
Blossom_Out,2765,2843402,2601,486,14501,10,5342100,14,4535,7987,4,1,8.70453e+06,3
BnJO_botchek,1257,1171758,4283,183,9231,3,2689820,5,3923,2871,212,41,1.07474e+06,2
BomaYeAli,920,907232,3157,296,9422,5,1973090,2,2859,3160,23,4,5.70606e+06,2
Bomberbob6,1172,1230215,2761,279,17798,11,2145030,4,3314,5556,11,0,5.5959e+06,1
BonzoMontreux417,1772,2032007,2144,185,9893,13,2559070,6,3070,4854,14,6,5.50812e+06,1
BoogiemanSlaya,1571,1814094,3268,186,11844,4,2162310,4,2352,6850,5,1,6.14266e+06,3
BortasZero,2230,2290590,2612,216,12501,6,2699730,7,5874,4088,4,0,8.7372e+06,2
BrrrrrKalt,735,973927,5870,402,22834,2,3583560,7,5863,4563,2,1,9.20681e+06,2
Brujah_3e,1245,1352349,2677,763,11751,10,2439430,5,3582,3607,25,5,5.49243e+06,2
BtK-Silverman351,1595,1759390,7905,68,40283,-1,4325080,-1,5126,5901,-1,-1,7.59351e+06,0
BuIIwinkIe,1926,2074946,1606,63,15805,30,3495140,7,5721,2313,5,2,8.09198e+06,1
Bulat1011,1767,1551216,2280,245,10587,7,2637950,4,2854,3450,17,6,3.98485e+06,2
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Buxpb_2,2831,2611780,987,125,21544,18,4530150,13,6842,3097,4,3,247495,2
C0n0-M4n,1825,1970386,595,141,3523,4,2982340,8,4552,4076,0,0,7.94155e+06,0
CHNqhdwwy,1927,2533735,545,119,4095,5,2811160,6,3765,4538,0,0,7.58713e+06,1
CHris071980,2534,1212172,362,64,4736,8,1217980,759,604,704,1,2,461000,2
CN-Old-Driver-Nz,1456,1725485,726,399,19966,10,2718340,7,6677,8226,0,0,9.76567e+06,3
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
CRAPHANE,1554,1755422,1700,256,18800,10,3083260,5,4543,4349,8,3,8.63371e+06,2
CRXE0N,2156,2032767,1881,180,6010,9,5432660,15,12785,5869,24,4,2.1116e+06,2
Cabbag3Boy,1258,1238666,3478,590,18651,11,2560320,5,2506,3408,2,1,5.85614e+06,3
Cablemuncher,922,1165000,1002,114,6914,10,2196770,4,4387,4848,56,15,7.75534e+06,2
CaptDjeko,1439,1298375,800,297,4018,5,2326210,5,4932,2964,39,0,8.30723e+06,2
Carpsche,2582,2074472,3623,60,22787,42,6386700,12,3939,5315,193,44,4.8396e+06,2
Cermit-L,2459,1043583,825,34,2663,1,6090700,17,14756,6938,2,3,320555,2
ChanceDH,940,917321,1311,247,7899,9,1672360,2,2374,2093,19,4,5.82024e+06,3
Chara_kills,1701,2046236,6646,266,31556,15,3534350,8,8087,9190,54,20,1.23795e+07,2
Charli3_Gamma,2176,2222315,894,408,6391,9,2699340,5,3594,3140,3,2,6.63055e+06,3
Charly1970,3423,3495901,6361,935,30174,26,7072760,18,11707,10218,27,16,1.81815e+07,2
CheckbulletTV,1051,1093962,1596,318,9708,7,2094040,4,2731,4238,40,18,4.74888e+06,2
ChifCheer,1417,1604856,2169,117,10194,3,2793200,7,4804,6420,0,0,7.22596e+06,1
Clownkiller83,1580,1584254,2928,53,17976,10,2611880,6,6419,4042,15,3,397725,2
ColeyCross,1160,1321828,2517,67,12757,7,2240700,5,2379,3317,18,13,3.73644e+06,2
ComradeRifle,2493,2734805,1792,256,10841,9,5141530,15,7497,7702,3,2,1.10298e+07,1
CptSlapppy,1897,2092957,4030,428,18107,10,4628240,11,6918,6947,8,4,9.78701e+06,2
Cpt_AMOX,927,1266180,2667,92,6807,2,2865420,6,3003,3028,16,9,5.01587e+06,2
CriptoDeus,1182,1388142,3902,48,16173,2,3248120,5,5009,7711,15,2,9.56955e+06,1
CrudeGoo,1270,1373830,3341,323,12395,9,2801510,6,5802,4646,6,2,9.5464e+06,1
Crusader126,961,1017815,3861,85,15544,6,3609820,7,1825,3407,104,32,3.51861e+06,2
Crusoes,1547,1707965,3090,499,14522,11,2619520,5,4372,5371,22,15,7.70524e+06,2
CryLessBF,1100,1032532,2015,45,14979,7,3433760,7,900,1396,197,86,383105,2
Cryo-FR,611,668295,981,0,5497,8,2296700,4,3507,4662,8,5,6.84063e+06,2
Crys1sF4n,1094,1199755,4473,50,7753,1,2285010,4,3723,5055,39,14,5.32888e+06,2
CuspyNigs,1690,1923311,526,102,6882,5,3105280,9,6512,6759,6,4,9.25087e+06,3
Czech_Albatros,1491,1264022,1861,184,13792,6,2421060,4,1857,2931,54,54,4.10418e+06,2
Czesiek9201,996,1099883,693,147,15301,16,2009540,3,2537,4172,4,2,806240,2
Ddkey65,392,483946,3458,72,13486,-1,3521450,-1,2233,3452,-1,-1,6.2341e+06,0
DE_JACKO,1246,1618772,6824,589,33306,17,5356360,10,3824,6261,10,3,7.36186e+06,2
DFC-mIrO,2071,2306319,4067,474,16307,24,2113310,4,2287,4275,0,3,4.20349e+06,2
DOMIPS3,953,640351,1560,57,4935,5,1994320,2,1129,1043,645,121,3.18336e+06,2
DS6xSelios,4033,3905677,1132,291,27530,30,6631120,16,9553,7604,102,68,1.33928e+07,2
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Daddyjhv,1935,2392729,1752,181,2500,33,4170920,9,4804,1989,5,0,7.9598e+06,2
Damixos,1190,1352252,1373,386,5145,4,2304540,5,3028,5812,55,17,5.36265e+06,2
DannnyRich,732,1009928,3064,55,24433,11,2693790,5,4470,3774,1,3,7.34294e+06,1
DarkBrave,828,972202,2940,196,13779,8,2949040,5,3022,2633,32,23,5.4813e+06,2
DarkXenator,1306,1462827,1586,137,12157,7,2778460,6,2450,3141,23,6,1.10877e+06,1
David8861,2563,2620879,601,68,9276,71,2958890,5,6271,5226,0,1,6.6154e+06,3
DavidkovoTuTu,2105,2764868,0,0,7,53,52255,7,501,4250,1,0,1.2547e+06,2
DeeeRoy,2110,1894901,547,59,2266,5,2539240,6,7204,5098,7,3,1.01659e+07,2
DefeatU,2962,3196199,939,259,11579,21,3831750,9,6591,4424,2,3,1.08562e+07,2
Deibels,2756,2901798,2692,112,17467,11,4349180,12,9282,6352,2,3,1.3386e+07,2
DerDelRey,1904,1764024,2376,90,9792,5,3774040,8,6451,4720,30,6,4.56657e+06,2
DevilsDuck,3269,2456804,2305,261,16386,8,2775790,4,2860,2560,36,10,4.50295e+06,2
DickerFetterBot,1579,1652335,992,4,6979,801,2413460,6,5450,4205,13,5,6.34281e+06,2
Dieforsushiii,1347,1512026,1130,238,4996,5,2079540,5,3531,3356,5,4,510655,1
Distilator,2102,2358131,4512,183,23069,14,4619340,11,8529,7143,0,2,201915,2
Dj-Wargen,944,1131478,1917,103,9237,10,2196720,4,3995,4935,48,18,6.26937e+06,2
Doc_Godling,2080,2327767,1787,94,12538,26,3963320,9,6331,5261,0,0,1.04903e+07,1
Don_Antoni0,1479,1624597,1600,240,5445,3,2890800,7,5055,6815,54,3,7.8405e+06,2
Donkeysperm,1489,1830495,636,671,5092,10,2181060,6,3466,6581,1,2,5.69198e+06,2
DontTouchMeOk,1362,1561947,66,51,506,331,2415330,6,5408,6506,1,1,341580,1
Dr-Ziip,573,693810,2574,51,12846,6,2070740,3,2618,3581,11,4,5.27129e+06,2
Drewatron,1620,1486764,3153,100,11087,5,2639390,6,6008,5892,85,13,4.36137e+06,2
