Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-2142-AMON13-,1940,2150067,516,176,11661,15,3245940,6,3370,4459,4,1,7.0128e+06,2
-AnserMagnus-,2181,1936038,2526,150,12401,8,3817760,6,2870,6337,250,73,6.01179e+06,2
-BRT-mdlchrist,1699,2040813,529,74,3548,3,3456060,8,5300,3684,14,2,9.22311e+06,2
-BS-Cadman,2322,1738125,1991,84,15064,14,5290940,9,1720,1493,455,140,4.73235e+06,2
-HERO-CHENZHIDA,1319,1347717,2700,95,13401,5,2153430,4,3959,5368,24,1,6.91836e+06,2
-LostinRust-,2961,2185563,16992,281,98676,5,5477920,9,4070,2914,88,57,7.4051e+06,2
-NFN-Helden,722,757461,4379,213,24889,3,3674550,6,4049,3324,16,6,8.66845e+06,2
-SkCr-Devin,1647,1871332,2637,231,15066,20,2674440,5,5108,7168,9,5,8.71993e+06,1
-UsedPlayer-,3719,2995061,9218,87,28470,4,8241220,18,9955,11685,1,407,1.67317e+07,2
-V3-majorfreim,3000,2623581,7007,276,27218,13,5088280,11,4904,5438,116,32,7.04606e+06,2
-ex1s-88,1039,1299517,1380,269,20114,13,3398700,6,2176,4691,6,3,5.39507e+06,2
-o-Feet-o-,2859,2919856,5791,1317,22321,24,5495230,11,5719,8897,14,4,1.13817e+07,2
-sSadiXx-,2257,2844610,1942,347,7746,10,3408900,9,4932,3023,6,1,8.2676e+06,2
-tk_mako,2998,3257064,895,73,8895,13,3306980,7,2809,3647,9,3,5.43698e+06,2
-uG-HQRacing16,1495,1586059,2169,64,8530,12,2664460,5,1959,3900,99,62,4.82174e+06,3
-xxTaIonxx-,2487,2686672,1743,426,13628,51,5734940,12,10236,5697,11,2,2.09766e+07,1
1024_yin,1911,2246785,2325,364,16186,11,3508980,11,5695,5239,0,0,9.33724e+06,3
180302neon,2934,3269197,5240,289,31720,8,4435590,9,8233,5500,23,6,1.35846e+07,2
1988pl,1389,1355597,2222,120,9878,6,2621630,4,3750,4465,41,8,6.96608e+06,2
1Kamikaze,2041,2222616,1632,213,9756,6,3393440,8,3448,6803,29,13,6.82627e+06,1
1eyedking-xd-,1765,2054867,2099,6321,14083,11,2793830,3,2195,4358,2,2,9.00076e+06,3
1icezera,4561,3799407,13266,308,45427,10,6895760,13,7411,15172,13,1,1.22725e+07,1
21_Anarchy_21,2444,2806697,2010,229,13299,8,4261180,9,8026,7512,0,0,1.4606e+07,2
2duka2,1652,1673296,1274,87,20995,14,2829730,6,5119,4074,2,0,8.63624e+06,2
3K-Mason,1591,1605101,3073,173,13680,11,3289200,7,4346,5605,49,27,7.43241e+06,2
3ar1ofcur1,1523,1686238,2710,1315,26347,27,3982110,6,4776,2999,0,1,9.83566e+06,2
4oKySnuK,1720,1061667,2334,116,10951,24,3619780,6,6032,3766,53,10,2.34255e+06,2
5tok3r,1546,1699572,2439,155,13832,11,3134460,7,3943,6493,31,2,6.79884e+06,0
6000_BOJIbT,4533,4598347,2757,128,23467,24,7190840,15,3303,9072,582,131,1.09664e+07,2
61Trabz,2706,2836369,3538,150,30480,21,5234940,11,8638,10710,5,2,1.44746e+07,2
66Eagle66,1275,1109370,906,99,2513,3,1426560,2,884,1888,5,0,2.76537e+06,2
6ewehrw0lf,1114,1330558,1518,128,7363,13,4321020,9,4016,7787,16,7,7.97872e+06,2
8BuzzDee8,1601,1486626,9895,69,31419,7,3255230,4,4130,4221,41,20,5.56296e+06,2
91ronnie,1855,1351899,1836,186,7386,4,1991830,3,2366,3010,12,2,4.93583e+06,2
97VR4JON,1671,1801478,158,6,1353,1,2532430,6,1808,5720,13,3,5.04026e+06,2
9TMK9,1843,1851982,939,74,14182,16,2735380,6,4147,3240,11,2,6.65701e+06,2
ACE_RoXXoR,1949,2082261,2556,85,11766,6,4619710,13,8469,6959,152,51,1.36527e+07,2
AMOK_Colonel_JGF,1473,1663137,4122,454,18138,11,5280110,10,3963,5201,36,3,9.30781e+06,1
ANTIHERO202,1402,1352216,3445,490,13362,6,3569510,6,2756,4856,349,126,5.57279e+06,2
ARSval,1869,2068620,1990,221,8435,4,3075250,6,3223,5327,32,13,7.00471e+06,2
ATEO21,2228,2078107,2627,251,11430,5,2965320,6,2867,4254,159,45,6.15024e+06,2
ATF_Fish7O2,3304,3221720,4724,190,11810,20,5430240,12,9763,11150,89,49,1.66213e+07,1
Adamanhide,1182,1486585,567,115,4122,22,2546190,5,4390,4309,0,0,9.3096e+06,2
Addimin,1664,1266213,1605,127,6061,3,1946340,3,1551,2159,121,22,3.44791e+06,2
AdelMkadmi,1518,1584452,1690,273,9548,16,2721410,6,3780,4648,0,3,6.78355e+06,2
Aegis94,2335,2914102,4729,90,23810,32,5608970,12,10016,7672,23,2,1.61785e+07,2
Agraas,1486,1430199,689,142,3614,6,2044940,4,1521,4306,44,10,3.18758e+06,2
AirSlayer,1289,1215338,1418,319,4434,17,3234820,6,4089,2569,74,13,8.12255e+06,2
Akarraz,1284,1468224,8935,520,48165,9,5824610,14,7455,4325,20,3,1.00971e+07,2
Akira_A1,1527,1722449,2632,212,23643,23,2878320,4,4693,6791,98,26,9.21569e+06,2
AlanYe97,1425,1960887,2836,71,13057,6,3764260,8,6690,4891,6,3,1.1904e+07,2
Albedomancer,1548,1667945,3072,329,16570,9,2652620,5,3482,4978,28,5,6.37112e+06,3
AlbertSonic35,2226,2192400,1933,262,5520,10,2893920,7,4796,3945,7,4,9.53212e+06,1
AlbinoKalle,1295,1407152,2295,529,15406,19,3919570,8,4773,4690,77,14,7.84762e+06,2
Aleksandru88,1977,2176940,1091,113,4107,21,3220210,9,9256,6733,15,4,1.35729e+07,2
Aleksej89,1612,1574928,5354,461,25289,10,3531820,8,5997,4555,49,12,9.15233e+06,2
Alex501Trooper,1665,1605435,5390,399,15929,10,3621690,6,3906,3436,91,25,6.39385e+06,2
Ali_Overdose,2751,1965145,4943,194,22009,9,4102110,7,6391,4590,24,11,5.94389e+06,3
Alschke,902,1000143,2616,138,8556,2,2575720,4,2297,3556,101,32,5.04024e+06,2
American_Tencent,1689,2033846,2003,220,16379,22,3560540,8,4745,3657,0,0,1.0181e+07,3
Amrati,2549,2557649,660,3812,8152,20,3636510,10,10806,10763,77,20,2.01422e+07,2
AnNka-tr,1510,1769239,577,0,2803,560,3147840,7,2535,3892,2,0,4.97214e+06,2
AnarchyZG,2400,2896551,4073,109,16956,7,3875460,8,4252,6042,2,0,8.86166e+06,2
AnhkMorePork,1557,1643308,6796,545,18156,5,3100700,6,3715,4956,59,26,7.24282e+06,2
Anna_Maniak,2500,2211405,9118,756,33356,17,5594100,10,5085,8660,473,141,8.91953e+06,1
Anonymoose-VX9-,1827,1780080,3613,546,9818,10,3533600,8,4056,5063,100,45,6.6319e+06,0
Antagonist0079,2134,1479580,1089,83,5263,5,2092390,2,1169,1481,12,1,4.13837e+06,2
Arkanchyl,806,1040686,1569,53,9754,49,3918860,7,2346,3674,0,1,5.32014e+06,2
AstorDog,1490,1510119,1916,769,8458,53,5150220,8,7558,7260,17,3,1.21819e+07,3
Att23man,1391,1335902,844,291,16591,6,2739280,5,3814,4651,25,5,6.4776e+06,2
Avrim,2091,2251905,2783,282,19105,13,3968030,8,2650,7074,43,15,6.07222e+06,2
Azoic_Song,1166,1458066,1748,215,20633,8,3109190,6,3791,4844,19,4,7.00985e+06,1
B77X,1177,1245844,408,65,9548,6,2407760,4,3912,3081,51,9,8.05511e+06,1
BADMAN61,2636,1861011,11197,0,37958,232,5148360,10,4606,4364,67,33,3.73629e+06,2
BF147,1889,1990463,150,25,13538,34,3301370,8,6312,5030,0,3,1.23141e+07,3
BF1IOS4,3696,3679596,3007,246,16073,5,3042180,7,5506,6204,50,20,8.65852e+06,2
BINGOOOOOOOO0,1986,1960347,5401,364,19805,17,3349510,8,4175,5206,80,8,7.72812e+06,3
