Username, Activity Index, Teamwork Index, PTFO Index, Region, Sent Friend Request, Accepted Invitation, Sent Message, Replied to Message, Applied to Clan
82ndRaygun,85.7836,27.7393,34.3963,1,1,,,,
ShreddedWheats,82.911,31.0354,68.8978,1,1,,,,
ByoTonyko,65.1433,5.51487,11.8789,1,1,1,,,
JamesZ24,64.8453,5.8646,220.636,1,1,,,,
ZariannaPlays,62.4779,15.1735,43.8438,1,1,,,,
2HungryEars,62.1543,4.61089,85.1549,1,1,,,,
Pashtet1349,61.9517,50.4893,197.503,1,1,,,,
Sheriff_BlackCat,61.7094,12.7198,35.8602,1,1,,,,
CampinWitaPBnJ,55.9795,28.9872,62.5408,1,1,,,,
DK_Kobra,53.2695,14.1455,13.76,1,1,,,,
frtKnocker,52.8202,17.1977,100.217,1,1,,,,
JacksonLongshot,51.3281,19.8393,226.102,1,1,,,,
CLB_Demonss,50.5952,69.7828,242.182,1,1,,,,
Dust13unny,49.273,84.8949,106.058,1,1,,,,
ThorDelight,47.4616,6.9063,37.5661,1,1,,,,
PPAP_Duterte,45.9478,15.0514,43.6824,1,1,,,,
HerHighness76,44.2364,7.3225,23.4238,1,1,,,,
LonestarJones15,43.4841,12.0058,15.6519,1,1,,,,
BaDaBingX,43.2628,15.8393,94.1035,1,1,,,,
mkalover232,43.0745,15.3383,43.1391,1,1,,,,
kingzz69,42.6322,5.43568,476.055,1,1,,,,
ZiGG_Qc,41.3241,22.4351,29.8816,1,1,,,,
I_Am_ToastGaming,40.1985,14.0224,37.4187,1,1,,,,
Sir_Jordangerous,38.101,28.6276,36.1705,1,1,,,,
Osy_Eclipse119,37.9745,8.94841,11.7893,1,1,,,,
2_Sauced_2_Pork,37.5624,8.79352,64.763,1,1,,,,
knigtstemplar,37.4007,7.28968,26.1692,1,1,,,,
Pain999x,36.9424,32.9275,23.3779,1,1,,,,
PanicKernel,36.1746,11.1762,139.141,1,1,,,,
GrieferMD,35.517,8.00195,366.035,1,1,,,,
Lethal_Click,35.3828,5.72601,9.6989,1,1,,,,
XPenultimateX,34.4302,20.029,23.2298,1,1,1,1,,
Master_Chief_v5,34.3294,7.47135,21.8622,1,1,,,,
AOD_Eastwood,33.2856,8.52888,68.3383,1,0,,,,
Slothability,32.4165,5.60788,22.5026,1,1,,,,
CaptKankle,32.2252,11.738,238.567,1,1,,,,
Dr_Blizzaj,32.0916,7.26601,11.9546,1,1,,,,
MaykonSluk,31.4649,7.03113,28.0314,1,1,,,,
BadBoyxixixi,31.0195,51.2264,98.0766,1,0,,,,
Valiant_Hoser,30.0565,48.5106,15.7516,1,1,,,,
Deyno9,29.7097,6.56341,33.3757,1,1,,,,
OmniXacius,29.5903,5.3589,14.7559,1,1,,,,
apb58,29.4367,21.2867,55.7556,1,1,,,,
GallardoBR,29.0778,15.545,38.186,1,1,,,,
EdgarAllanPWN3DD,28.83,17.5856,16.2582,1,1,,,,
n0bodylol,28.6337,53.7927,35.5701,1,1,,,,
LiquorKrazy,28.4909,5.86471,24.082,1,1,,,,
MugsTV,28.4048,13.2399,225.4,1,1,,,,
SYMTHIC-SmugMG08,27.3396,6.45394,45.7932,1,0,,,,
TheButtSatisfier,27.127,7.28139,3.14416,1,1,,,,
#NAME?,27.1182,9.84944,30.9804,1,0,,,,
Smoothwyn,26.8719,34.5758,30.7144,1,1,,,,
Foz_E_Waz,26.718,13.5119,17.2641,1,1,,,,
TheFlashHCP,26.6745,6.81337,267.2,1,1,,,,
fierypitt,26.1999,13.9758,214.736,1,1,,,,
iron-monkie,25.8434,6.61173,127.66,1,1,,,,
123washere,25.2555,6.46784,212.679,1,1,,,,
ForgottenLRRP,25.0657,58.6489,64.8502,1,1,,,,
Condor-BOL,24.794,27.9159,33.7491,1,1,,,,
BosIey,23.5691,21.3965,61.8763,1,1,,,,
outlierz,22.3548,12.6254,104.337,1,1,,,,
BAMF0816,22.109,7.64392,47.7457,1,1,,,,
MrRoc77,22.0274,29.5298,34.4175,1,1,,,,
MitsukiRen,21.8595,6.34912,72.1027,1,1,,,,
Habu_Jack,21.8211,10.2015,8.67346,1,1,,,,
buster126,21.2022,5.81322,13.4856,1,1,,,,
EvenJob001,21.0342,126.049,48.0482,1,1,,,,
JohnCSmithJr,20.8792,6.82126,481.017,1,1,,,,
fooCAN,20.6475,6.32456,282.282,1,1,,,,
ALonelyHamburger,20.1808,5.99304,114.897,1,1,,,,
KizaTheMan,20.0767,26.5764,197.149,1,1,,,,
