Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
--skal--de_1,59,58028,40,0,150,3,238870,1,302,215,0,0,567510,2,97.5737,33.0628,10.9765
-BC-Hunterr,1,62,0,0,0,0,100,0,0,0,0,0,0,1,4.95245,0,3.16228
-D-pacifist,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-DMF-Kaiser,28,31601,83,0,511,0,118540,0,113,139,0,0,276920,3,59.5065,26.2867,29.0661
-Eagleye68,25,19549,0,8,0,1,47000,0,41,56,0,0,107800,1,51.85,10.4885,6.58475
-PwR-K1CKAz,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-Q-DoePa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
-QuaseHeroiBR-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-Steve_McQueen-7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-_iyf_-s4ndRo92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0016032014,22,24340,350,0,893,0,161340,0,89,106,0,0,-42610,2,50.8832,0,65.2538
00Heater00,15,12410,30,0,129,0,34380,0,37,14,0,0,-5.50041e+06,2,38.0795,0,16.9192
020peter020,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0GORDON_FREEMAN0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1995Cthulhu,30,34924,58,0,258,0,99020,0,126,128,0,0,320780,3,62.5732,25.4879,17.5793
1LeeEnfield1918,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1marshmelllow1,2,2223,0,0,0,0,1190,0,4,4,0,0,8050,1,15.0176,8.33566,4.93889
1yuanrmb,76,74019,39,0,230,0,149690,0,157,258,0,0,165180,3,117.83,15.1555,9.66134
2ChEssE_HD,10,10835,37,0,54,0,23530,0,35,41,0,0,66140,2,32.0596,17.2346,15.9647
2g4u_sCatteR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2ndAmendment1776,20,24164,93,0,561,1,46400,0,25,37,0,0,51220,2,48.8134,7.77127,38.9402
2od1ac,13,11604,0,0,0,0,12420,0,23,23,0,1,48540,2,35.5691,8.68696,5.55905
333SemiSatanic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
350Tag,92,104925,188,1,514,1,229310,1,247,342,0,0,827940,1,138.984,34.7845,14.0654
4vikingr,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
541NT,24,21471,164,0,538,0,57130,0,45,86,1,0,34730,3,51.7017,11.2457,35.9846
5kuZZy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
67jd67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
69Johnnyboy69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72Chorknabe72,17,20517,0,0,397,0,63360,0,51,59,0,0,70630,2,44.2856,14.3722,30.8134
7CrazyHell7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8XD-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
92slavik,18,18639,16,4,141,1,36570,0,21,45,0,0,0,1,44.4272,7,15.7132
ACE-stef,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ACEternal,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AHA_ChoBim,1,814,0,0,0,0,520,0,3,5,0,0,9000,3,10.3162,16.3707,4.7753
AIenity,58,59486,76,0,1253,2,187990,0,63,141,0,0,3800,3,96.8938,7.17288,29.5452
AKA-Bloodyback,45,40742,78,6,1062,1,103310,0,80,67,0,0,144860,1,79.2882,10.5712,31.9214
AMTOMIA,2,2412,0,0,0,0,7380,0,4,5,0,0,24700,2,15.3762,9.91576,7.79393
ANDTHEROCK,23,30564,0,0,23,0,81300,1,80,72,0,0,66640,2,54.1584,15.2499,8.71022
ANGER-JMTV,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ARES1276,12,9750,0,0,5,0,8680,0,5,19,0,0,5.1086e+06,0,33.298,128.024,5.18543
ARMY-Of-Gamer,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AS257,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASKANN0N,14,13021,20,11,114,0,20080,0,24,46,0,0,57120,2,37.4518,11.9556,16.1537
Aaronslim57,4,4032,43,0,122,0,14650,0,16,15,0,0,36830,2,19.8722,16.3136,48.7791
Aaronvd1,22,31539,2,0,2,0,47270,0,60,59,0,0,-3.31122e+06,2,53.4859,0,6.80783
Abendw1nd,17,18182,12,0,32,0,26450,0,16,35,0,0,61790,2,43.2096,8.10046,8.27961
AbolfHatler,19,22731,57,0,388,0,44810,0,37,29,0,0,85610,3,47.2328,8.82664,29.9684
Acezy123,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AdamsAlbert,18,16121,24,12,61,0,47140,0,45,57,0,0,-3.97211e+06,3,43.1803,0,12.1531
Adi_Orang_Asli,3,2913,0,5,0,0,6240,0,9,2,0,0,19100,2,17.2438,7.72661,7.7533
AdjC-Zeroxe,34,33114,152,15,680,0,87160,1,81,107,0,0,92180,1,66.001,14.0239,31.1152
Adoras,1,223,0,0,0,0,0,0,0,0,0,0,0,2,7.05321,0,0
Aegis223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Agapetas,41,41041,74,42,376,0,124480,1,146,38,0,0,6.78149e+06,1,75.3717,169.672,19.4229
Aigoooo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Al3x-FD5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Alalex67,25,25476,10,19,318,0,75580,0,92,89,0,0,181820,2,54.3252,19.6299,20.415
Alcobrat,7,5308,38,0,147,0,22870,0,22,7,0,0,37150,2,24.3941,9.32392,33.5603
AlexisSky972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AliKSander,2,959,0,0,0,0,1580,0,0,0,0,0,0,2,11.8389,0,5.3016
AliasRaegiru,8,11825,29,0,34,0,20770,0,24,62,0,0,30570,2,30.7113,22.11,14.138
Alien006-Cow,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AliveParadox,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ambassador_G-Kar,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
And4TheWin,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Andreinuk,41,54717,133,0,560,2,133640,0,73,138,0,0,0,2,78.8264,10,23.5556
AnelAtNight,30,21231,1,0,114,0,43290,0,19,40,0,0,136290,1,57.5982,7.32299,9.16335
Anonymity07,2,2382,3,0,6,0,2070,0,10,6,0,0,6680,3,15.3205,16.2844,9.67199
Anti-medic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Antoine-_x36_-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Antotha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apollo_Manyex,24,29244,64,0,351,0,101180,0,74,70,0,0,1450,2,54.7037,12.0747,25.0575
AraoxSVK,6,6916,3,0,1,0,12280,0,25,18,0,0,48340,2,24.9964,15.6806,6.72553
Archikuuus,48,60888,275,66,683,-927,195130,0,203,196,0,0,482290,2,87.1967,29.8205,9.98482
Arcueid-P17,68,53675,76,0,134,0,134960,0,276,217,0,0,293754,1,105.585,22.7493,9.67399
ArghhhFreshMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Arhmadon,15,20429,10,1,29,1,55140,0,52,95,0,0,58730,2,42.2466,21.0057,9.78653
Arlequina-HQ,17,11020,44,0,185,0,29300,0,31,29,0,0,3.10987e+06,3,39.1843,85.0063,19.4428
ArmyTaz,74,26601,106,0,291,0,46360,0,66,25,0,0,20970,1,103.75,2.79026,10.002
Arqueliomp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Arshnart,28,14746,2,0,2,0,52320,1,76,47,0,0,600225,2,52.4438,24.9172,6.57422
Asakixx,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
