Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, ActInd, PTFOInd, TWInd
-ASG-Mashaly,1487,1840093,911,170,3748,2,2731360,7,3769,4655,6,0,5.44523e+06,2
-Smiles-Tarkus,3176,2895495,2630,219,13950,-1,4614500,-1,4451,10046,-1,-1,9.98795e+06,0
-V4p0R5h4rK-,2049,2384286,504,29,2150,3,1731950,5,1211,1960,2,3,2820,3
101A-AutoPsiE,2549,1879455,3069,77,15085,9,4117170,9,11679,6309,36,8,4.94439e+06,2
17Creem,2302,2419077,1927,99,10978,9,2354100,6,3595,5903,1,2,6.51104e+06,3
74-freaky-74,1244,1405732,1890,188,10185,8,2572720,5,4941,4036,107,18,7.91489e+06,2
7KillIt,2079,2340970,1742,53,13630,7,2954580,8,5323,6911,1,0,7.66389e+06,2
AIN01,1857,2521019,1347,140,17626,17,5698030,14,4713,8648,7,2,2.63416e+06,2
ANTI_PSYOP,3470,3077504,7827,59,43295,4,5565960,14,12226,8117,9,1,719330,2
A_Meditatin_Monk,939,1384224,2946,63,10789,12,2921150,5,6788,4008,2,1,1.07494e+07,2
A_New_BISUer,1668,1699625,866,160,22147,15,2676560,5,3056,3958,0,0,7.03777e+06,3
Abby_Triumph,1225,1211259,4513,51,36967,23,4211760,9,7286,4418,3,1,9.61764e+06,2
ActionStachMan,2204,2018988,5646,94,21160,6,4327950,8,6171,6423,175,37,5.34945e+06,1
Akumander,1260,1447742,4844,155,14989,10,2838400,5,5650,6512,4,2,9.59321e+06,2
AlmostLikeNinja,1184,1453773,727,70,21494,13,3511400,9,7689,5577,0,0,1.31647e+07,2
Alone4224,1942,1932154,1977,132,5507,5,2732160,6,6330,5562,7,7,4.84694e+06,2
Amtalove,1132,1216076,3708,216,16421,5,2517460,4,3891,5280,10,6,5.82346e+06,2
Angri-fart,3776,4183160,1086,322,5758,3,3534960,6,2564,6623,196,61,6.82664e+06,2
AngryChair123,1510,1535590,3220,132,15487,21,3223270,7,6042,5443,24,8,7.93749e+06,1
ArekRybaPL,1933,1978593,142,1477,11733,22,3765410,7,2018,4150,2,1,5.42866e+06,2
AstraVod979,1710,1915629,1632,196,10829,5,2815510,6,2573,4202,0,0,5.69661e+06,2
Asupara77,1401,1581241,8198,189,78478,18,5104080,14,8343,5309,0,0,23120,3
AvinBuck,2473,2433033,2108,295,17003,13,3898720,9,6036,6906,86,1,1.19613e+07,2
Ayghan,1514,1977429,10090,148,66797,23,6044690,13,11053,8293,16,9,1.33996e+07,2
BAMMBAMMMMM,1705,1912417,2621,125,15679,11,3134680,5,2879,5862,8,2,5.89996e+06,1
BBJoei,1144,1171011,3323,229,11248,12,3087840,7,3104,4038,85,12,5.19005e+06,2
BF1-5leek,10640,10158573,3744,2806,52665,33,13012100,37,13838,18811,0,0,3.05764e+07,2
BUTA-YASAIKARAME,1687,1787576,2672,889,8917,28,3395870,7,5231,5269,1,0,1.14899e+07,3
BamseMums64,1945,2173762,430,53,6300,8,2873910,7,8194,5407,7,6,1.26743e+07,2
BertilG,1767,2168651,2436,179,6917,6,3083920,7,2680,4016,18,8,3.93434e+06,2
Blackie03,1984,2030866,4619,20,40225,2,4498780,11,8621,2974,7,2,1.36251e+07,0
BoPe-ThE-BeSt-69,4819,4543286,8839,2044,54014,23,9220820,21,10566,17034,287,60,1.12826e+06,2
BocianJu87,1523,1871451,2862,235,12959,9,2754050,5,3558,7759,21,4,6.57965e+06,2
Brekk1e,1184,1360511,2691,355,9424,6,3053200,5,3105,7295,29,10,5.09372e+06,2
BrianHrodulfr,1290,1470882,2286,39,15882,20,2574550,6,4435,5608,3,0,6.30557e+06,2
Broalarm,1256,1046376,2997,165,9219,6,2673970,4,2629,2998,128,35,2.53839e+06,2
BunzingNL,1336,1570661,936,73,14056,20,2732100,5,3364,3686,0,0,6.33486e+06,2
CHEforeverBlue,1550,1264543,2179,368,10730,48,2905960,4,2281,2950,13,4,22965,3
CRAZYWEIYi,1662,1707696,1159,170,10955,8,2423650,6,4417,5045,6,0,6.66796e+06,3
CashDi,1278,1109716,2433,57,9739,11,2506490,5,3058,3858,31,6,3.66006e+06,2
Chtiwolf,1865,1558469,3087,198,17636,13,4093540,10,6437,6578,156,46,6.84013e+06,2
Chuck-Noia-CN,3860,4229822,43327,349,160708,6,10489400,19,16443,14144,57,14,2.53699e+07,0
CoistBodhar,2037,2508833,3486,324,23620,9,4096600,10,8794,8505,23,7,100070,2
Cooxy,999,1265600,1925,80,7844,7,2062570,4,4231,6313,1,0,9590,2
Cr1t1c4L_J0e,1785,1685098,3758,238,16806,14,4565920,10,5699,5255,285,64,6.01885e+06,2
CucuHUN,1210,1419719,2371,154,22286,9,3153830,6,5382,5671,2,1,8.31919e+06,2
